source_id	source_type	canonical_gene_id	evidence_path	evidence_kind
FGSG_00048	FGSG	fgraminearum::FGRAMPH1_01G00155	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00048	FGSG	fgraminearum::FGRAMPH1_01G00155	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00049	FGSG	fgraminearum::FGRAMPH1_01G00157	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00049	FGSG	fgraminearum::FGRAMPH1_01G00157	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00050	FGSG	fgraminearum::FGRAMPH1_01G00161	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00050	FGSG	fgraminearum::FGRAMPH1_01G00161	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00051	FGSG	fgraminearum::FGRAMPH1_01G00163	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00052	FGSG	fgraminearum::FGRAMPH1_01G00165	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00052	FGSG	fgraminearum::FGRAMPH1_01G00165	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00053	FGSG	fgraminearum::FGRAMPH1_01G00167	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00053	FGSG	fgraminearum::FGRAMPH1_01G00167	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00054	FGSG	fgraminearum::FGRAMPH1_01G00169	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00054	FGSG	fgraminearum::FGRAMPH1_01G00169	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00055	FGSG	fgraminearum::FGRAMPH1_01G00171	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00055	FGSG	fgraminearum::FGRAMPH1_01G00171	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00056	FGSG	fgraminearum::FGRAMPH1_01G00173	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00056	FGSG	fgraminearum::FGRAMPH1_01G00173	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00058	FGSG	fgraminearum::FGRAMPH1_01G00193	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
