source_layer	source_node	target_layer	target_node	count
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001828	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001832	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001834	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001841	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001842	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001843	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001846	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001847	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001850	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001851	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001857	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001861	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001862	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001863	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001866	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001870	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001874	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001875	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001877	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001879	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001884	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001885	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001889	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001891	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001896	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001900	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001905	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001912	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001913	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001919	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001920	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001921	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001922	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001923	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001932	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001933	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001938	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001942	1
