layer	node	count
Layer2_Orthogroup	OG0002020	1
Layer2_Orthogroup	OG0002023	1
Layer2_Orthogroup	OG0002032	1
Layer2_Orthogroup	OG0002033	1
Layer2_Orthogroup	OG0002034	1
Layer2_Orthogroup	OG0002036	1
Layer2_Orthogroup	OG0002038	1
Layer2_Orthogroup	OG0002043	1
Layer2_Orthogroup	OG0002047	1
Layer2_Orthogroup	OG0002049	1
Layer2_Orthogroup	OG0002050	1
Layer2_Orthogroup	OG0002051	1
Layer2_Orthogroup	OG0002055	1
Layer2_Orthogroup	OG0002056	1
Layer2_Orthogroup	OG0002059	1
Layer2_Orthogroup	OG0002060	1
Layer2_Orthogroup	OG0002061	1
Layer2_Orthogroup	OG0002062	1
Layer2_Orthogroup	OG0002063	1
Layer2_Orthogroup	OG0002066	1
Layer2_Orthogroup	OG0002067	1
Layer2_Orthogroup	OG0002068	1
Layer2_Orthogroup	OG0002069	1
Layer2_Orthogroup	OG0002070	1
Layer2_Orthogroup	OG0002073	1
Layer2_Orthogroup	OG0002075	1
Layer2_Orthogroup	OG0002076	1
Layer2_Orthogroup	OG0002079	1
Layer2_Orthogroup	OG0002082	1
Layer2_Orthogroup	OG0002085	1
Layer2_Orthogroup	OG0002087	1
Layer2_Orthogroup	OG0002088	1
Layer2_Orthogroup	OG0002091	1
Layer2_Orthogroup	OG0002094	1
Layer2_Orthogroup	OG0002096	1
Layer2_Orthogroup	OG0002101	1
Layer2_Orthogroup	OG0002104	1
Layer2_Orthogroup	OG0002106	1
Layer2_Orthogroup	OG0002108	1
Layer2_Orthogroup	OG0002112	1
Layer2_Orthogroup	OG0002114	1
Layer2_Orthogroup	OG0002125	1
Layer2_Orthogroup	OG0002132	1
Layer2_Orthogroup	OG0002134	1
Layer2_Orthogroup	OG0002136	1
Layer2_Orthogroup	OG0002137	1
Layer2_Orthogroup	OG0002138	1
Layer2_Orthogroup	OG0002140	1
Layer2_Orthogroup	OG0002147	1
Layer2_Orthogroup	OG0002149	1
Layer2_Orthogroup	OG0002150	1
Layer2_Orthogroup	OG0002152	1
Layer2_Orthogroup	OG0002153	1
Layer2_Orthogroup	OG0002154	1
Layer2_Orthogroup	OG0002155	1
Layer2_Orthogroup	OG0002157	1
Layer2_Orthogroup	OG0002158	1
Layer2_Orthogroup	OG0002161	1
Layer2_Orthogroup	OG0002162	1
Layer2_Orthogroup	OG0002163	1
Layer2_Orthogroup	OG0002166	1
Layer2_Orthogroup	OG0002171	1
Layer2_Orthogroup	OG0002174	1
Layer2_Orthogroup	OG0002178	1
Layer2_Orthogroup	OG0002179	1
Layer2_Orthogroup	OG0002181	1
Layer2_Orthogroup	OG0002183	1
Layer2_Orthogroup	OG0002184	1
Layer2_Orthogroup	OG0002186	1
Layer2_Orthogroup	OG0002187	1
Layer2_Orthogroup	OG0002189	1
Layer2_Orthogroup	OG0002192	1
Layer2_Orthogroup	OG0002194	1
Layer2_Orthogroup	OG0002195	1
Layer2_Orthogroup	OG0002196	1
Layer2_Orthogroup	OG0002202	1
Layer2_Orthogroup	OG0002203	1
Layer2_Orthogroup	OG0002206	1
Layer2_Orthogroup	OG0002208	1
Layer2_Orthogroup	OG0002209	1
Layer2_Orthogroup	OG0002210	1
Layer2_Orthogroup	OG0002212	1
Layer2_Orthogroup	OG0002216	1
Layer2_Orthogroup	OG0002222	1
Layer2_Orthogroup	OG0002223	1
Layer2_Orthogroup	OG0002224	1
Layer2_Orthogroup	OG0002225	1
Layer2_Orthogroup	OG0002232	1
Layer2_Orthogroup	OG0002233	1
Layer2_Orthogroup	OG0002234	1
Layer2_Orthogroup	OG0002237	1
Layer2_Orthogroup	OG0002241	1
Layer2_Orthogroup	OG0002243	1
Layer2_Orthogroup	OG0002244	1
Layer2_Orthogroup	OG0002245	1
Layer2_Orthogroup	OG0002246	1
Layer2_Orthogroup	OG0002247	1
Layer2_Orthogroup	OG0002248	1
Layer2_Orthogroup	OG0002250	1
Layer2_Orthogroup	OG0002251	1
Layer2_Orthogroup	OG0002254	1
Layer2_Orthogroup	OG0002256	1
Layer2_Orthogroup	OG0002263	1
Layer2_Orthogroup	OG0002264	1
Layer2_Orthogroup	OG0002265	1
Layer2_Orthogroup	OG0002266	1
Layer2_Orthogroup	OG0002270	1
Layer2_Orthogroup	OG0002272	1
Layer2_Orthogroup	OG0002273	1
Layer2_Orthogroup	OG0002274	1
Layer2_Orthogroup	OG0002275	1
Layer2_Orthogroup	OG0002277	1
Layer2_Orthogroup	OG0002278	1
Layer2_Orthogroup	OG0002279	1
Layer2_Orthogroup	OG0002281	1
Layer2_Orthogroup	OG0002284	1
Layer2_Orthogroup	OG0002285	1
Layer2_Orthogroup	OG0002289	1
Layer2_Orthogroup	OG0002293	1
Layer2_Orthogroup	OG0002294	1
Layer2_Orthogroup	OG0002297	1
Layer2_Orthogroup	OG0002298	1
Layer2_Orthogroup	OG0002300	1
Layer2_Orthogroup	OG0002303	1
Layer2_Orthogroup	OG0002305	1
Layer2_Orthogroup	OG0002306	1
Layer2_Orthogroup	OG0002308	1
Layer2_Orthogroup	OG0002312	1
Layer2_Orthogroup	OG0002320	1
Layer2_Orthogroup	OG0002322	1
Layer2_Orthogroup	OG0002325	1
Layer2_Orthogroup	OG0002326	1
Layer2_Orthogroup	OG0002328	1
Layer2_Orthogroup	OG0002329	1
Layer2_Orthogroup	OG0002330	1
Layer2_Orthogroup	OG0002332	1
Layer2_Orthogroup	OG0002333	1
Layer2_Orthogroup	OG0002336	1
Layer2_Orthogroup	OG0002338	1
Layer2_Orthogroup	OG0002342	1
Layer2_Orthogroup	OG0002347	1
Layer2_Orthogroup	OG0002349	1
Layer2_Orthogroup	OG0002352	1
Layer2_Orthogroup	OG0002353	1
Layer2_Orthogroup	OG0002354	1
Layer2_Orthogroup	OG0002356	1
Layer2_Orthogroup	OG0002357	1
Layer2_Orthogroup	OG0002358	1
Layer2_Orthogroup	OG0002362	1
Layer2_Orthogroup	OG0002367	1
Layer2_Orthogroup	OG0002369	1
Layer2_Orthogroup	OG0002371	1
Layer2_Orthogroup	OG0002372	1
Layer2_Orthogroup	OG0002374	1
Layer2_Orthogroup	OG0002377	1
Layer2_Orthogroup	OG0002378	1
Layer2_Orthogroup	OG0002379	1
Layer2_Orthogroup	OG0002380	1
Layer2_Orthogroup	OG0002381	1
Layer2_Orthogroup	OG0002382	1
Layer2_Orthogroup	OG0002385	1
Layer2_Orthogroup	OG0002394	1
Layer2_Orthogroup	OG0002395	1
Layer2_Orthogroup	OG0002398	1
Layer2_Orthogroup	OG0002401	1
Layer2_Orthogroup	OG0002402	1
Layer2_Orthogroup	OG0002406	1
Layer2_Orthogroup	OG0002408	1
Layer2_Orthogroup	OG0002411	1
Layer2_Orthogroup	OG0002415	1
Layer2_Orthogroup	OG0002416	1
Layer2_Orthogroup	OG0002419	1
Layer2_Orthogroup	OG0002420	1
Layer2_Orthogroup	OG0002421	1
