fusion_method	threshold	metric	mean	sd	n	split_used
Concat	0.24	recall	0.810958904109589	0.055135922732871524	5	test
Concat	0.25	recall	0.8054794520547945	0.055230382152360064	5	test
Concat	0.26	recall	0.801826484018265	0.05662836894220089	5	test
Concat	0.27	recall	0.801826484018265	0.05662836894220089	5	test
Concat	0.28	recall	0.8009132420091325	0.05681216809130882	5	test
Concat	0.29	recall	0.7963470319634702	0.06062922841442811	5	test
Concat	0.3	recall	0.7917808219178082	0.0578126193078225	5	test
Concat	0.31	recall	0.7899543378995434	0.0582079853149861	5	test
Concat	0.32	recall	0.787214611872146	0.05958860371784411	5	test
Concat	0.33	recall	0.7835616438356163	0.060197820996080356	5	test
Concat	0.34	recall	0.7808219178082192	0.05909670824449673	5	test
Concat	0.35	recall	0.7789954337899544	0.05781261930782246	5	test
Concat	0.36	recall	0.7771689497716895	0.059745852908844294	5	test
Concat	0.37	recall	0.7716894977168949	0.05802860742985767	5	test
Concat	0.38	recall	0.767123287671233	0.056940474490136644	5	test
Concat	0.39	recall	0.7616438356164383	0.06371458532440775	5	test
Concat	0.4	recall	0.7570776255707763	0.06501038821996126	5	test
Concat	0.41	recall	0.7515981735159818	0.06478549368999618	5	test
Concat	0.42	recall	0.747945205479452	0.06628086277319362	5	test
Concat	0.43	recall	0.7452054794520548	0.06806563687384141	5	test
Concat	0.44	recall	0.7388127853881278	0.07047364975605654	5	test
Concat	0.45	recall	0.7360730593607305	0.06965528552768445	5	test
Concat	0.46	recall	0.7315068493150684	0.06682910091863269	5	test
Concat	0.47	recall	0.7296803652968037	0.06844747335361911	5	test
Concat	0.48	recall	0.7269406392694064	0.0675274385965273	5	test
Concat	0.49	recall	0.7251141552511415	0.06768164623876159	5	test
Concat	0.5	recall	0.7196347031963469	0.07048844116135235	5	test
Concat	0.51	recall	0.7150684931506849	0.06884233669309371	5	test
Concat	0.52	recall	0.7105022831050227	0.06929515238390484	5	test
Concat	0.53	recall	0.7077625570776256	0.06955043932295805	5	test
Concat	0.54	recall	0.7022831050228311	0.0625587441033905	5	test
Concat	0.55	recall	0.6968036529680365	0.06510653378132444	5	test
Concat	0.56	recall	0.691324200913242	0.0662179179700365	5	test
Concat	0.57	recall	0.6831050228310502	0.06397584561184795	5	test
Concat	0.58	recall	0.6757990867579908	0.0655374433534581	5	test
Concat	0.59	recall	0.6721461187214612	0.06436574772179421	5	test
Concat	0.6	recall	0.6657534246575342	0.06346867709185043	5	test
Concat	0.61	recall	0.6593607305936072	0.06307322977107581	5	test
Concat	0.62	recall	0.6529680365296804	0.0629408618816905	5	test
