raw_probe_id	mapped_gene_id	mapping_status	mapping_method	keep_record	source_file	platform_gpl
3873_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3874_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3875_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3876_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3877_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3878_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3879_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3880_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3881_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3882_f_at	S000003788	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3883_f_at	S000006022	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3884_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3885_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3886_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3887_f_at	S000003650	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3888_s_at	S000003650	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3889_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3890_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3891_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3892_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
