Gene,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
S000005080,1.32009089,1.609248519,2.372304201,1.933633208,1.774410963,1.54793036,1.432285905,1.244514108,1.680387497,2.107623339,1.638127923,1.772588849,1.956372023,1.825000167,1.870203137,1.622146249,1.974359035,1.570408106,1.319514632,1.686825037,1.529142857,1.540679693,1.654506445,1.523336649,1.800976872,2.018934965,1.878959417,1.307302237,1.270661116,1.441176534,1.028540015,1.448701978,1.684615493,1.534448743,1.680485249,1.832987428
S000001878,4.246311188,3.631213903,3.397275686,3.512935877,3.599326849,3.554466009,3.563380003,2.912225962,1.386198521,3.813901663,5.641552925,4.029441357,4.772675514,3.218182087,3.107223272,4.309360981,2.66332221,4.748979568,3.301314354,1.9071275,3.867428541,4.599381924,4.704935551,3.717974186,2.97802186,4.702958584,2.398190022,3.850913048,3.635330439,3.622899294,4.66739893,1.441285491,5.54395628,4.677165508,4.490394115,4.516597271
S000007521,11.03859234,10.32485485,11.72531223,11.23847008,10.82603836,9.492375374,11.80498314,12.18808842,11.68523026,13.07735538,12.97488594,9.984771729,8.890931129,11.34886456,10.16817188,13.8139267,15.26978779,11.71020317,11.45197105,10.23326111,6.671999931,9.834191322,9.493561745,9.717973709,9.181929588,15.56568146,13.02375698,11.56288052,11.51446247,12.32983303,10.56311798,10.98022175,9.09450531,7.923228264,7.741152287,8.047717094
S000003159,23.44835472,21.72601128,22.30646896,17.66366768,19.41975403,14.67320251,15.56446266,13.21003151,8.592010498,17.21300507,21.73059464,17.05786705,19.2939167,23.13977432,21.00451469,18.09360695,16.03009987,14.32448959,13.22244549,9.342331886,12.55771446,14.19361401,17.81866837,17.68917656,29.33699608,18.05562019,16.79411697,15.80020332,15.08264446,14.30987453,16.69813347,9.819530487,15.73076916,13.88484192,16.77047348,20.03526878
S000006264,1.034052253,0.671676278,0.645856977,0.619797528,0.468013495,0.564270139,0.72697717,0.816091955,4.967312336,2.322870016,1.456621051,1.719796896,1.123995543,0.902272761,0.651241541,0.641552508,0.501672268,0.543877542,0.643073738,3.439524889,3.944000006,1.745622993,1.816523671,1.749751687,1.228327274,0.675739646,0.660633504,0.651115596,0.5,0.509453773,0.804610372,6.813349724,2.437362671,1.623031378,1.592517614,1.530082941
S000001452,0.021566402,0.042774566,0.022701476,0.024746908,0.066217735,0.029411765,0.010834236,0.030303031,0.04116223,0.022421526,0.037671234,0.030456852,0.020665903,0.079545453,0.072234765,0.007990868,0.040133778,0.045918368,0.06572295,0.016198704,0.029714284,0.022657055,0.039699573,0.057596825,0.054945055,0.029585799,0.036199097,0.005070994,0.01859504,0.084033616,0.034028541,0.106304079,0.013186814,0.022637794,0.023255812,0.028008297
S000004236,1.620885372,1.309826612,2.044267893,1.673790812,1.746352553,1.772331119,1.114842892,1.586206913,1.656174421,1.168161511,1.371004581,1.493401051,1.977038026,1.786363602,1.243792295,0.813926995,1.350055695,1.305101991,1.908998966,2.160907269,2.033142805,1.86405766,1.640557885,1.303872943,1.347985387,1.850887537,1.764705896,1.472616673,1.419421434,1.381302595,1.870471954,1.555006146,1.806593418,1.356299281,1.619817853,1.502074599
S000004600,2.280363083,5.420809269,6.826334,5.025871754,4.375982285,4.925926208,2.02058506,4.068965435,1.535109043,0.783632338,0.729452074,0.827411175,1.563719869,5.767045498,4.006772041,4.560502529,7.079152584,4.797959328,6.054600239,3.397408247,1.028571367,1.138002038,0.843347609,0.781529307,1.743589759,7.017751694,5.108597279,7.704868793,4.555785179,3.100840569,4.733260632,2.270704508,0.890109897,1.463582635,1.098078847,1.136929393
S000005527,0.416572094,0.589595377,0.744608402,1.017997742,0.8877666,1.007625222,1.175514579,1.009404421,2.876513481,0.882287025,0.730593622,0.845685303,0.530424833,0.447727293,0.871331751,0.825342536,0.827201784,1.038775563,1.002022147,1.480561614,0.981714308,0.804325402,0.966738164,0.937437952,0.522588551,0.640236676,0.692307711,0.830628872,0.855371892,0.856092453,1.195389748,2.342397928,1.4043957,0.758858263,0.776541948,0.818464696
S000000145,1.331441641,3.612716675,3.027241945,4.650168896,5.986532688,5.814814568,4.314192772,4.486938477,2.21670723,3.186099052,1.139269471,1.349238515,2.122847319,3.928409338,3.819412947,4.176940441,5.810479641,4.662244797,5.333670139,2.316414595,3.9554286,2.085478783,1.835837007,1.321747899,2.065934181,3.241420031,4.574660778,4.803245544,5.851239681,6.986344337,4.693743229,4.312731266,1.647252679,2.154527426,1.608695626,1.36099577
