raw_probe_id	mapped_gene_id	mapping_status	mapping_method
10613_at	S000001522	mapped	alias_bridge
10614_at	S000001521	mapped	alias_bridge
10615_at	S000001520	mapped	alias_bridge
10616_at		unmapped	none
10617_at	S000001518	mapped	alias_bridge
10618_at	S000001517	mapped	alias_bridge
10619_at	S000001516	mapped	alias_bridge
10620_at	S000001515	mapped	alias_bridge
10621_at		unmapped	none
10622_at		unmapped	none
10623_at	S000001512	mapped	alias_bridge
10624_at	S000001555	mapped	alias_bridge
10625_at	S000001554	mapped	alias_bridge
10626_at	S000001553	mapped	alias_bridge
10627_at	S000001552	mapped	alias_bridge
10628_at	S000001551	mapped	alias_bridge
10629_at	S000001550	mapped	alias_bridge
10630_at		unmapped	none
10631_at	S000001548	mapped	alias_bridge
10632_at	S000001547	mapped	alias_bridge
10633_at	S000001546	mapped	alias_bridge
10634_at	S000001545	mapped	alias_bridge
10635_at	S000001544	mapped	alias_bridge
10636_at	S000001543	mapped	alias_bridge
10637_at	S000001542	mapped	alias_bridge
10638_at	S000001541	mapped	alias_bridge
10639_at	S000001540	mapped	alias_bridge
10640_at	S000001539	mapped	alias_bridge
10641_at	S000001538	mapped	alias_bridge
10642_at	S000001537	mapped	alias_bridge
10643_at	S000007243	mapped	alias_bridge
10644_at		unmapped	none
10645_at	S000001535	mapped	alias_bridge
10646_at	S000001576	mapped	alias_bridge
10647_at	S000001575	mapped	alias_bridge
10648_at	S000001574	mapped	alias_bridge
10649_at	S000001573	mapped	alias_bridge
10650_at	S000001572	mapped	alias_bridge
10651_at	S000001571	mapped	alias_bridge
10652_at	S000001570	mapped	alias_bridge
10653_at	S000001569	mapped	alias_bridge
10654_at	S000001568	mapped	alias_bridge
10655_at	S000001567	mapped	alias_bridge
10656_at	S000001565	mapped	alias_bridge
10657_at		unmapped	none
10658_at	S000001564	mapped	alias_bridge
10659_at	S000001564	mapped	alias_bridge
10660_at	S000001563	mapped	alias_bridge
10661_at	S000001562	mapped	alias_bridge
10662_at	S000001561	mapped	alias_bridge
10663_at	S000001560	mapped	alias_bridge
10664_at	S000001558	mapped	alias_bridge
10665_g_at	S000001558	mapped	alias_bridge
10666_at	S000001558	mapped	alias_bridge
10667_at	S000001557	mapped	alias_bridge
10668_at	S000001556	mapped	alias_bridge
10669_at	S000001599	mapped	alias_bridge
10670_at	S000001597	mapped	alias_bridge
10671_at	S000001596	mapped	alias_bridge
10672_at	S000001595	mapped	alias_bridge
10673_at		unmapped	none
10674_at	S000001593	mapped	alias_bridge
10675_at	S000001592	mapped	alias_bridge
10676_at	S000001591	mapped	alias_bridge
10677_at	S000001590	mapped	alias_bridge
10678_at	S000001589	mapped	alias_bridge
10679_at	S000001588	mapped	alias_bridge
10680_at	S000001587	mapped	alias_bridge
10681_at	S000001586	mapped	alias_bridge
10682_at		unmapped	none
10683_at	S000001584	mapped	alias_bridge
10684_at	S000001583	mapped	alias_bridge
10685_at	S000001582	mapped	alias_bridge
10686_at	S000001581	mapped	alias_bridge
10687_at		unmapped	none
10688_at	S000001956	mapped	alias_bridge
10689_at	S000001579	mapped	alias_bridge
10690_at	S000001578	mapped	alias_bridge
10691_at	S000001577	mapped	alias_bridge
10692_at		unmapped	none
10693_at	S000001618	mapped	alias_bridge
10694_at	S000001617	mapped	alias_bridge
10695_at	S000001616	mapped	alias_bridge
10696_at	S000001615	mapped	alias_bridge
10697_at		unmapped	none
10698_at	S000001613	mapped	alias_bridge
10699_at	S000001612	mapped	alias_bridge
10700_at	S000001611	mapped	alias_bridge
10701_at	S000001610	mapped	alias_bridge
10702_at	S000001609	mapped	alias_bridge
10703_at	S000001608	mapped	alias_bridge
10704_at	S000001607	mapped	alias_bridge
10705_g_at	S000001607	mapped	alias_bridge
10706_at		unmapped	none
