raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
229533.A0A098CYV1	229533.I1RU18	FGRAMPH1_01G00009	FGRAMPH1_01G25397	True		332	134	0	0
229533.A0A098CYV1	229533.V6RK40	FGRAMPH1_01G00009	FGRAMPH1_01G11243	True		331	280	0	0
229533.A0A098CYV1	229533.I1RFF2	FGRAMPH1_01G00009	FGRAMPH1_01G05827	True		211	0	0	0
229533.A0A098CYV1	229533.I1RN88	FGRAMPH1_01G00009	FGRAMPH1_01G17949	True		305	0	0	0
229533.A0A098CYV1	229533.I1RZ78	FGRAMPH1_01G00009	FGRAMPH1_01G26479	True		706	437	0	0
229533.A0A098CYV1	229533.A0A0E0SE14	FGRAMPH1_01G00009	FGRAMPH1_01G24793	True		173	67	0	0
229533.A0A098CYV1	229533.I1RN21	FGRAMPH1_01G00009	FGRAMPH1_01G17771	True		331	280	0	0
229533.A0A098CYV1	229533.I1RKP5	FGRAMPH1_01G00009	FGRAMPH1_01G15339	True		543	0	0	0
229533.A0A098CYV1	229533.A0A1C3YMZ0	FGRAMPH1_01G00009	FGRAMPH1_01G13949	True		310	94	0	270
229533.A0A098CYV1	229533.A0A1C3YHG7	FGRAMPH1_01G00009	FGRAMPH1_01G00477	True		278	73	0	0
229533.A0A098CYV1	229533.I1RFI4	FGRAMPH1_01G00009	FGRAMPH1_01G05905	True		261	93	0	0
229533.A0A098CYV1	229533.I1S0E4	FGRAMPH1_01G00009	FGRAMPH1_01G07445	True		207	207	0	0
229533.A0A098CYV1	229533.I1SAC4	FGRAMPH1_01G00009	FGRAMPH1_01G08647	True		570	285	0	324
229533.A0A098CYV1	229533.I1RVZ3	FGRAMPH1_01G00009	FGRAMPH1_01G09975	True		157	86	0	0
229533.A0A098CYV1	229533.I1RGC3	FGRAMPH1_01G00009	FGRAMPH1_01G11301	True		161	0	0	0
229533.A0A098CYV1	229533.I1RIY2	FGRAMPH1_01G00009	FGRAMPH1_01G13687	True		225	0	0	0
229533.A0A098CYV1	229533.I1RZ13	FGRAMPH1_01G00009	FGRAMPH1_01G26631	True		644	352	136	335
229533.A0A098CYV1	229533.A0A098DZ76	FGRAMPH1_01G00009	FGRAMPH1_01G19831	True		174	158	0	0
229533.A0A098CYV1	229533.I1R9Y8	FGRAMPH1_01G00009	FGRAMPH1_01G00813	True		336	87	0	0
229533.A0A098CYV1	229533.I1RAM2	FGRAMPH1_01G00009	FGRAMPH1_01G01413	True		373	323	0	0
229533.A0A098CYV1	229533.I1RQG7	FGRAMPH1_01G00009	FGRAMPH1_01G20005	True		244	150	0	0
229533.A0A098CYV1	229533.I1RZ52	FGRAMPH1_01G00009	FGRAMPH1_01G26531	True		283	50	0	0
229533.A0A098CYV1	229533.I1RK55	FGRAMPH1_01G00009	FGRAMPH1_01G14825	True		193	91	0	0
229533.A0A098CYV1	229533.I1RMI7	FGRAMPH1_01G00009	FGRAMPH1_01G17287	True		155	156	0	0
229533.A0A098CYV1	229533.I1RUR8	FGRAMPH1_01G00009	FGRAMPH1_01G26105	True		179	57	0	0
229533.A0A098CYV1	229533.A0A0E0SGQ4	FGRAMPH1_01G00009	FGRAMPH1_01G23691	True		331	280	0	0
229533.A0A098CYV1	229533.V6R5D2	FGRAMPH1_01G00009	FGRAMPH1_01G04275	True		191	134	0	0
229533.A0A098CYV1	229533.I1RSY7	FGRAMPH1_01G00009	FGRAMPH1_01G24399	True		213	0	0	0
229533.A0A098CYV1	229533.A0A1C3YK63	FGRAMPH1_01G00009	FGRAMPH1_01G20193	True		206	0	0	0
229533.A0A098CYV1	229533.I1RG71	FGRAMPH1_01G00009	FGRAMPH1_01G06527	True		202	147	0	0
229533.A0A098CYV1	229533.I1S3X7	FGRAMPH1_01G00009	FGRAMPH1_01G16023	True		150	78	0	0
229533.A0A098CYV1	229533.I1RW43	FGRAMPH1_01G00009	FGRAMPH1_01G10107	True		473	253	0	0
229533.A0A098CYV1	229533.A0A1C3YKI8	FGRAMPH1_01G00009	FGRAMPH1_01G22431	True		237	171	0	0
229533.A0A098CYV1	229533.A0A0E0SDV1	FGRAMPH1_01G00009	FGRAMPH1_01G26225	True		223	169	0	0
229533.A0A098CYV1	229533.I1RY25	FGRAMPH1_01G00009	FGRAMPH1_01G27545	True		151	152	0	0
229533.A0A098CYV1	229533.A0A1C3YKK8	FGRAMPH1_01G00009	FGRAMPH1_01G22669	True		334	283	0	0
229533.A0A098CYV1	229533.I1S694	FGRAMPH1_01G00009	FGRAMPH1_01G13895	True		346	280	0	0
229533.A0A098CYV1	229533.I1RKR7	FGRAMPH1_01G00009	FGRAMPH1_01G15411	True		158	0	157	0
229533.A0A098CYV1	229533.A0A1C3YLB8	FGRAMPH1_01G00009	FGRAMPH1_01G25971	True		477	0	0	0
229533.A0A098CYV1	229533.A0A1C3YJR4	FGRAMPH1_01G00009	FGRAMPH1_01G18337	True		154	123	0	0
229533.A0A098CYV1	229533.I1RWI5	FGRAMPH1_01G00009	FGRAMPH1_01G10493	True		266	0	0	0
229533.A0A098CYV1	229533.A0A0E0S094	FGRAMPH1_01G00009	FGRAMPH1_01G10231	True		162	0	0	0
229533.A0A098CYV1	229533.A0A098D8H0	FGRAMPH1_01G00009	FGRAMPH1_01G04899	True		162	0	0	0
229533.A0A098CYV1	229533.I1RG37	FGRAMPH1_01G00009	FGRAMPH1_01G06435	True		332	332	0	0
