raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
C25E10.4.1	WBGene00016094	mapped	alias_bridge	STRING aliases bridge
C25E10.5.1	WBGene00016095	mapped	alias_bridge	STRING aliases bridge
C25E10.9.1	WBGene00023417	mapped	alias_bridge	STRING aliases bridge
C25F6.2a.1	WBGene00001006	mapped	alias_bridge	STRING aliases bridge
C25F6.3.1	WBGene00016103	mapped	alias_bridge	STRING aliases bridge
C25F6.4.1	WBGene00016104	mapped	alias_bridge	STRING aliases bridge
C25F6.7a.1	WBGene00016106	mapped	alias_bridge	STRING aliases bridge
C25F9.13.1	WBGene00045413	mapped	alias_bridge	STRING aliases bridge
C25G4.10a.1	WBGene00007736	mapped	alias_bridge	STRING aliases bridge
C25G4.2.2	WBGene00007730	mapped	alias_bridge	STRING aliases bridge
C25G4.4.1	WBGene00007732	mapped	alias_bridge	STRING aliases bridge
C25G4.5.1		unmapped	none	no evidence found
C25G4.6.1	WBGene00007733	mapped	alias_bridge	STRING aliases bridge
C25G6.2.1	WBGene00006635	mapped	alias_bridge	STRING aliases bridge
C25G6.3.1	WBGene00016108	mapped	alias_bridge	STRING aliases bridge
C25G6.5.1	WBGene00016110	mapped	alias_bridge	STRING aliases bridge
C25H3.1.1		unmapped	none	no evidence found
C25H3.11a.1		unmapped	none	no evidence found
C25H3.12.1	WBGene00016121	mapped	alias_bridge	STRING aliases bridge
C25H3.14.1		unmapped	none	no evidence found
C25H3.3.1		unmapped	none	no evidence found
C25H3.5.1	WBGene00016114	mapped	alias_bridge	STRING aliases bridge
C25H3.6a.1	WBGene00016115	mapped	alias_bridge	STRING aliases bridge
C25H3.9a.1	WBGene00016118	mapped	alias_bridge	STRING aliases bridge
C26B2.1.1		unmapped	none	no evidence found
C26B2.3a.1		unmapped	none	no evidence found
C26B2.4.1	WBGene00016126	mapped	alias_bridge	STRING aliases bridge
C26B2.6.1		unmapped	none	no evidence found
C26B9.5.1	WBGene00016134	mapped	alias_bridge	STRING aliases bridge
