taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
44056	UP000002729	Aureococcus anophagefferens	Eukaryota	Aureococcus anophagefferens	k__Eukaryota	p__unclassified Eukaryota phylum	c__Pelagophyceae	o__Pelagomonadales	f__unclassified Pelagomonadales family	g__Aureococcus	s__Aureococcus anophagefferens
441959	UP000001745	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Eukaryota	Talaromyces stipitatus ATCC 10500	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__Talaromyces stipitatus
4555	UP000004995	Setaria italica	Eukaryota	Setaria italica	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Setaria	s__Setaria italica
481877	UP000001742	Enterocytozoon bieneusi (strain H348)	Eukaryota	Enterocytozoon bieneusi H348	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Enterocytozoonidae	g__Enterocytozoon	s__Enterocytozoon bieneusi
502780	UP000001628	Paracoccidioides brasiliensis (strain Pb18)	Eukaryota	Paracoccidioides brasiliensis Pb18	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__unclassified Onygenales family	g__Paracoccidioides	s__Paracoccidioides brasiliensis
486041	UP000001194	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Eukaryota	Laccaria bicolor S238N-H82	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hydnangiaceae	g__Laccaria	s__Laccaria bicolor
498257	UP000001611	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137)	Eukaryota	Verticillium dahliae VdLs.17	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Verticillium	s__Verticillium dahliae
51351	UP000011750	Brassica rapa subsp. pekinensis	Eukaryota	Brassica rapa subsp. pekinensis	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Brassicales	f__Brassicaceae	g__Brassica	s__Brassica rapa
535722	UP000002669	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893)	Eukaryota	Nannizzia gypsea CBS 118893	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	g__Nannizzia	s__Nannizzia gypsea
554065	UP000008141	Chlorella variabilis	Eukaryota	Chlorella variabilis	k__Eukaryota	p__Chlorophyta	c__Trebouxiophyceae	o__Chlorellales	f__Chlorellaceae	g__Chlorella	s__Chlorella variabilis
554373	UP000000741	Moniliophthora perniciosa (strain FA553 / isolate CP02)	Eukaryota	Moniliophthora perniciosa FA553	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Marasmiaceae	g__Moniliophthora	s__Moniliophthora perniciosa
559295	UP000002036	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)	Eukaryota	Lachancea thermotolerans CBS 6340	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Lachancea	s__Lachancea thermotolerans
559304	UP000005222	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	Eukaryota	Millerozyma farinosa CBS 7064	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Millerozyma	s__Millerozyma farinosa
559305	UP000008864	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892)	Eukaryota	Trichophyton rubrum CBS 118892	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	g__Trichophyton	s__Trichophyton rubrum
559307	UP000008536	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	Eukaryota	Zygosaccharomyces rouxii CBS 732	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__Zygosaccharomyces rouxii
