species_key	focal_taxid	query_level_taxid	query_level_name	member_orthodb_organism_id	member_taxid	member_scientific_name
celegans	6239	2759	Eukaryota	5866_0	5866	Babesia bigemina
celegans	6239	2759	Eukaryota	5869_0	5869	Babesia ovis
celegans	6239	2759	Eukaryota	5871_0	5871	Babesia caballi
celegans	6239	2759	Eukaryota	5874_0	5874	Theileria annulata
celegans	6239	2759	Eukaryota	5886_0	5886	Paramecium primaurelia
celegans	6239	2759	Eukaryota	5888_0	5888	Paramecium tetraurelia
celegans	6239	2759	Eukaryota	5932_0	5932	Ichthyophthirius multifiliis
celegans	6239	2759	Eukaryota	5936_0	5936	Moneuplotes crassus
celegans	6239	2759	Eukaryota	5949_0	5949	Stylonychia lemnae
celegans	6239	2759	Eukaryota	5963_0	5963	Stentor coeruleus
celegans	6239	2759	Eukaryota	5970_0	5970	Exophiala dermatitidis
celegans	6239	2759	Eukaryota	5974_0	5974	Halteria grandinella
celegans	6239	2759	Eukaryota	6035_0	6035	Encephalitozoon cuniculi
celegans	6239	2759	Eukaryota	6087_0	6087	Hydra vulgaris
celegans	6239	2759	Eukaryota	6087_1	6087	Hydra vulgaris
celegans	6239	2759	Eukaryota	6105_0	6105	Actinia tenebrosa
celegans	6239	2759	Eukaryota	6105_1	6105	Actinia tenebrosa
celegans	6239	2759	Eukaryota	6106_0	6106	Actinia equina
celegans	6239	2759	Eukaryota	6182_0	6182	Schistosoma japonicum
celegans	6239	2759	Eukaryota	6183_0	6183	Schistosoma mansoni
celegans	6239	2759	Eukaryota	6184_0	6184	Schistosoma bovis
celegans	6239	2759	Eukaryota	6185_0	6185	Schistosoma haematobium
celegans	6239	2759	Eukaryota	6186_0	6186	Schistosoma curassoni
celegans	6239	2759	Eukaryota	6187_0	6187	Schistosoma intercalatum
celegans	6239	2759	Eukaryota	6188_0	6188	Schistosoma rodhaini
celegans	6239	2759	Eukaryota	6189_0	6189	Schistosoma spindale
celegans	6239	2759	Eukaryota	6192_0	6192	Fasciola hepatica
celegans	6239	2759	Eukaryota	6198_0	6198	Opisthorchis viverrini
celegans	6239	2759	Eukaryota	6205_0	6205	Hydatigera taeniaeformis
celegans	6239	2759	Eukaryota	6210_0	6210	Echinococcus granulosus
celegans	6239	2759	Eukaryota	6210_1	6210	Echinococcus granulosus
celegans	6239	2759	Eukaryota	6211_0	6211	Echinococcus multilocularis
celegans	6239	2759	Eukaryota	6216_0	6216	Hymenolepis diminuta
celegans	6239	2759	Eukaryota	6238_0	6238	Caenorhabditis briggsae
celegans	6239	2759	Eukaryota	6239_0	6239	Caenorhabditis elegans
celegans	6239	2759	Eukaryota	6265_0	6265	Toxocara canis
celegans	6239	2759	Eukaryota	6269_0	6269	Anisakis simplex
celegans	6239	2759	Eukaryota	6277_0	6277	Acanthocheilonema viteae
celegans	6239	2759	Eukaryota	6279_0	6279	Brugia malayi
celegans	6239	2759	Eukaryota	6280_0	6280	Brugia pahangi
celegans	6239	2759	Eukaryota	6287_0	6287	Dirofilaria immitis
celegans	6239	2759	Eukaryota	6289_0	6289	Haemonchus contortus
celegans	6239	2759	Eukaryota	6290_0	6290	Haemonchus placei
celegans	6239	2759	Eukaryota	6293_0	6293	Wuchereria bancrofti
celegans	6239	2759	Eukaryota	6313_0	6313	Angiostrongylus cantonensis
celegans	6239	2759	Eukaryota	6326_0	6326	Bursaphelenchus xylophilus
celegans	6239	2759	Eukaryota	6334_0	6334	Trichinella spiralis
celegans	6239	2759	Eukaryota	6335_0	6335	Trichinella nativa
celegans	6239	2759	Eukaryota	6336_0	6336	Trichinella nelsoni
celegans	6239	2759	Eukaryota	6337_0	6337	Trichinella pseudospiralis
celegans	6239	2759	Eukaryota	6339_0	6339	Heligmosomoides polygyrus
celegans	6239	2759	Eukaryota	6347_0	6347	Owenia fusiformis
celegans	6239	2759	Eukaryota	6412_0	6412	Helobdella robusta
celegans	6239	2759	Eukaryota	6454_0	6454	Haliotis rufescens
celegans	6239	2759	Eukaryota	6454_1	6454	Haliotis rufescens
celegans	6239	2759	Eukaryota	6465_0	6465	Patella vulgata
celegans	6239	2759	Eukaryota	6465_1	6465	Patella vulgata
celegans	6239	2759	Eukaryota	6500_0	6500	Aplysia californica
celegans	6239	2759	Eukaryota	6500_1	6500	Aplysia californica
celegans	6239	2759	Eukaryota	6526_0	6526	Biomphalaria glabrata
celegans	6239	2759	Eukaryota	6549_0	6549	Mytilus californianus
celegans	6239	2759	Eukaryota	6550_0	6550	Mytilus edulis
celegans	6239	2759	Eukaryota	6565_0	6565	Crassostrea virginica
