raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00483	ph1_gene_id	FGRAMPH1_01G00483	fgraminearum::FGRAMPH1_01G00483	resolved	exact_mainline_graph_id
FGRAMPH1_01G00485	ph1_gene_id	FGRAMPH1_01G00485	fgraminearum::FGRAMPH1_01G00485	resolved	exact_mainline_graph_id
FGRAMPH1_01G00489	ph1_gene_id	FGRAMPH1_01G00489	fgraminearum::FGRAMPH1_01G00489	resolved	exact_mainline_graph_id
FGRAMPH1_01G00491	ph1_gene_id	FGRAMPH1_01G00491	fgraminearum::FGRAMPH1_01G00491	resolved	exact_mainline_graph_id
FGRAMPH1_01G00495	ph1_gene_id	FGRAMPH1_01G00495	fgraminearum::FGRAMPH1_01G00495	resolved	exact_mainline_graph_id
FGRAMPH1_01G00499	ph1_gene_id	FGRAMPH1_01G00499	fgraminearum::FGRAMPH1_01G00499	resolved	exact_mainline_graph_id
FGRAMPH1_01G00503	ph1_gene_id	FGRAMPH1_01G00503	fgraminearum::FGRAMPH1_01G00503	resolved	exact_mainline_graph_id
FGRAMPH1_01G00507	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00511	ph1_gene_id	FGRAMPH1_01G00511	fgraminearum::FGRAMPH1_01G00511	resolved	exact_mainline_graph_id
FGRAMPH1_01G00513	ph1_gene_id	FGRAMPH1_01G00513	fgraminearum::FGRAMPH1_01G00513	resolved	exact_mainline_graph_id
FGRAMPH1_01G00517	ph1_gene_id	FGRAMPH1_01G00517	fgraminearum::FGRAMPH1_01G00517	resolved	exact_mainline_graph_id
FGRAMPH1_01G00521	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00525	ph1_gene_id	FGRAMPH1_01G00525	fgraminearum::FGRAMPH1_01G00525	resolved	exact_mainline_graph_id
FGRAMPH1_01G00539	ph1_gene_id	FGRAMPH1_01G00539	fgraminearum::FGRAMPH1_01G00539	resolved	exact_mainline_graph_id
FGRAMPH1_01G00543	ph1_gene_id	FGRAMPH1_01G00543	fgraminearum::FGRAMPH1_01G00543	resolved	exact_mainline_graph_id
FGRAMPH1_01G00551	ph1_gene_id	FGRAMPH1_01G00551	fgraminearum::FGRAMPH1_01G00551	resolved	exact_mainline_graph_id
FGRAMPH1_01G00553	ph1_gene_id	FGRAMPH1_01G00553	fgraminearum::FGRAMPH1_01G00553	resolved	exact_mainline_graph_id
FGRAMPH1_01G00557	ph1_gene_id	FGRAMPH1_01G00557	fgraminearum::FGRAMPH1_01G00557	resolved	exact_mainline_graph_id
FGRAMPH1_01G00561	ph1_gene_id	FGRAMPH1_01G00561	fgraminearum::FGRAMPH1_01G00561	resolved	exact_mainline_graph_id
FGRAMPH1_01G00575	ph1_gene_id	FGRAMPH1_01G00575	fgraminearum::FGRAMPH1_01G00575	resolved	exact_mainline_graph_id
FGRAMPH1_01G00583	ph1_gene_id	FGRAMPH1_01G00583	fgraminearum::FGRAMPH1_01G00583	resolved	exact_mainline_graph_id
FGRAMPH1_01G00585	ph1_gene_id	FGRAMPH1_01G00585	fgraminearum::FGRAMPH1_01G00585	resolved	exact_mainline_graph_id
FGRAMPH1_01G00589	ph1_gene_id	FGRAMPH1_01G00589	fgraminearum::FGRAMPH1_01G00589	resolved	exact_mainline_graph_id
FGRAMPH1_01G00605	ph1_gene_id	FGRAMPH1_01G00605	fgraminearum::FGRAMPH1_01G00605	resolved	exact_mainline_graph_id
FGRAMPH1_01G00609	ph1_gene_id	FGRAMPH1_01G00609	fgraminearum::FGRAMPH1_01G00609	resolved	exact_mainline_graph_id
FGRAMPH1_01G00619	ph1_gene_id	FGRAMPH1_01G00619	fgraminearum::FGRAMPH1_01G00619	resolved	exact_mainline_graph_id
