raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00793	ph1_gene_id	FGRAMPH1_01G00793	fgraminearum::FGRAMPH1_01G00793	resolved	exact_mainline_graph_id
FGRAMPH1_01G00805	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00807	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00809	ph1_gene_id	FGRAMPH1_01G00809	fgraminearum::FGRAMPH1_01G00809	resolved	exact_mainline_graph_id
FGRAMPH1_01G00811	ph1_gene_id	FGRAMPH1_01G00811	fgraminearum::FGRAMPH1_01G00811	resolved	exact_mainline_graph_id
FGRAMPH1_01G00813	ph1_gene_id	FGRAMPH1_01G00813	fgraminearum::FGRAMPH1_01G00813	resolved	exact_mainline_graph_id
FGRAMPH1_01G00815	ph1_gene_id	FGRAMPH1_01G00815	fgraminearum::FGRAMPH1_01G00815	resolved	exact_mainline_graph_id
FGRAMPH1_01G00819	ph1_gene_id	FGRAMPH1_01G00819	fgraminearum::FGRAMPH1_01G00819	resolved	exact_mainline_graph_id
FGRAMPH1_01G00821	ph1_gene_id	FGRAMPH1_01G00821	fgraminearum::FGRAMPH1_01G00821	resolved	exact_mainline_graph_id
FGRAMPH1_01G00839	ph1_gene_id	FGRAMPH1_01G00839	fgraminearum::FGRAMPH1_01G00839	resolved	exact_mainline_graph_id
FGRAMPH1_01G00841	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00847	ph1_gene_id	FGRAMPH1_01G00847	fgraminearum::FGRAMPH1_01G00847	resolved	exact_mainline_graph_id
FGRAMPH1_01G00849	ph1_gene_id	FGRAMPH1_01G00849	fgraminearum::FGRAMPH1_01G00849	resolved	exact_mainline_graph_id
FGRAMPH1_01G00853	ph1_gene_id	FGRAMPH1_01G00853	fgraminearum::FGRAMPH1_01G00853	resolved	exact_mainline_graph_id
FGRAMPH1_01G00855	ph1_gene_id	FGRAMPH1_01G00855	fgraminearum::FGRAMPH1_01G00855	resolved	exact_mainline_graph_id
FGRAMPH1_01G00861	ph1_gene_id	FGRAMPH1_01G00861	fgraminearum::FGRAMPH1_01G00861	resolved	exact_mainline_graph_id
FGRAMPH1_01G00863	ph1_gene_id	FGRAMPH1_01G00863	fgraminearum::FGRAMPH1_01G00863	resolved	exact_mainline_graph_id
FGRAMPH1_01G00879	ph1_gene_id	FGRAMPH1_01G00879	fgraminearum::FGRAMPH1_01G00879	resolved	exact_mainline_graph_id
FGRAMPH1_01G00881	ph1_gene_id	FGRAMPH1_01G00881	fgraminearum::FGRAMPH1_01G00881	resolved	exact_mainline_graph_id
FGRAMPH1_01G00883	ph1_gene_id	FGRAMPH1_01G00883	fgraminearum::FGRAMPH1_01G00883	resolved	exact_mainline_graph_id
FGRAMPH1_01G00911	ph1_gene_id	FGRAMPH1_01G00911	fgraminearum::FGRAMPH1_01G00911	resolved	exact_mainline_graph_id
FGRAMPH1_01G00923	ph1_gene_id	FGRAMPH1_01G00923	fgraminearum::FGRAMPH1_01G00923	resolved	exact_mainline_graph_id
FGRAMPH1_01G00931	ph1_gene_id	FGRAMPH1_01G00931	fgraminearum::FGRAMPH1_01G00931	resolved	exact_mainline_graph_id
FGRAMPH1_01G00933	ph1_gene_id	FGRAMPH1_01G00933	fgraminearum::FGRAMPH1_01G00933	resolved	exact_mainline_graph_id
FGRAMPH1_01G00939	ph1_gene_id	FGRAMPH1_01G00939	fgraminearum::FGRAMPH1_01G00939	resolved	exact_mainline_graph_id
FGRAMPH1_01G00941	ph1_gene_id	FGRAMPH1_01G00941	fgraminearum::FGRAMPH1_01G00941	resolved	exact_mainline_graph_id
FGRAMPH1_01G00945	ph1_gene_id	FGRAMPH1_01G00945	fgraminearum::FGRAMPH1_01G00945	resolved	exact_mainline_graph_id
FGRAMPH1_01G00949	ph1_gene_id	FGRAMPH1_01G00949	fgraminearum::FGRAMPH1_01G00949	resolved	exact_mainline_graph_id
FGRAMPH1_01G00957	ph1_gene_id	FGRAMPH1_01G00957	fgraminearum::FGRAMPH1_01G00957	resolved	exact_mainline_graph_id
FGRAMPH1_01G00959	ph1_gene_id	FGRAMPH1_01G00959	fgraminearum::FGRAMPH1_01G00959	resolved	exact_mainline_graph_id
FGRAMPH1_01G00961	ph1_gene_id	FGRAMPH1_01G00961	fgraminearum::FGRAMPH1_01G00961	resolved	exact_mainline_graph_id
