Target	Species	Regime	Model	Feature_Setting	ESM2_Dim	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
fgraminearum	fgraminearum	oldlabel	GCN	EXP_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7709038054968287	0.005421601638902866	0.13183170609123426	0.005260211085688	0.16106231622822934	0.004230924654600557	0.146131794236731	0.004592612985183197	0.08106250120626225	0.0030338229699907278	0.7431818181818182	0.018463723646899896	0.6543255813953488	0.022118027466165473
fgraminearum	fgraminearum	newlabel	GCN	EXP_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8456301747930084	0.0018102251607913494	0.43590754196980736	0.005245814862647095	0.32068047629152757	0.0037043241266368015	0.3450269806757651	0.002328391325440679	0.21771013002994094	0.0016068422024044413	0.8310502283105023	0.007640730835927617	0.6991720331186752	0.0032264356792548847
fgraminearum	fgraminearum	oldlabel	GCN	ORT_EXP_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7987822410147991	0.0056633833392680565	0.19609122301759066	0.016229636277232937	0.18086095635482466	0.004966182618584773	0.16596237201732625	0.005475452521803265	0.09422537773677975	0.0037942382388862117	0.6977272727272726	0.017007533576245213	0.7247441860465116	0.01803883797533173
fgraminearum	fgraminearum	newlabel	GCN	ORT_EXP_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8511982625717802	0.0019260376027305003	0.42415531215614954	0.00634260398772754	0.3240635975964549	0.004531617625739046	0.3514571248365848	0.003020951112052254	0.22427336117372038	0.002031474986268437	0.8118721461187215	0.00671093080214569	0.7171113155473781	0.0019944326944506836
fgraminearum	fgraminearum	oldlabel	GAT	ORT		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.707683932346723	0.026577732511340303	0.0946776895521089	0.029850458921668162	0.11209647733037728	0.043122339346797385	0.11949212530976157	0.029754428267310836	0.06577182237571119	0.018782375607997615	0.7704545454545455	0.1284442831904072	0.4946976744186046	0.21079439229915525
fgraminearum	fgraminearum	newlabel	GAT	ORT		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7523677500388569	0.018239991973077976	0.21067173940139816	0.022533481782731495	0.2294006372482687	0.043357242465719634	0.2830997701338018	0.03717432600928093	0.18729959544761152	0.04274785466892049	0.7205479452054794	0.192202189849948	0.6391904323827047	0.18426121152904257
fgraminearum	fgraminearum	oldlabel	GAT	EXP		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7224947145877378	0.03385168354682603	0.08299941498468615	0.017164271209449307	0.13305032734397568	0.022563080488238473	0.1258600576772039	0.013050019746073293	0.06857883446298645	0.007708125854689002	0.775	0.03692744729379984	0.5626976744186047	0.06277960280962729
fgraminearum	fgraminearum	newlabel	GAT	EXP		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7409568457444351	0.09412548543175639	0.21287496689879584	0.0687342570325535	0.22472768678093877	0.10277224627614598	0.2801160744243025	0.08056645454805696	0.19395715691456134	0.03924487734886288	0.6246575342465752	0.24653136763291447	0.7285188592456302	0.1295151366270062
fgraminearum	fgraminearum	oldlabel	GAT	SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7906855179704018	0.007226045390067364	0.18076569132379955	0.019688443870285347	0.16833198788259587	0.01981838263220162	0.1537299156984951	0.017397949777641836	0.0862303779123678	0.011537942732427838	0.7272727272727273	0.04601921984390131	0.6778604651162791	0.052479958316278344
fgraminearum	fgraminearum	newlabel	GAT	SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.854180161560661	0.009630184110661105	0.3264594262326778	0.019413998122530224	0.3459548798139726	0.02733284594035301	0.3691901895042228	0.01848916217686365	0.23815700720090377	0.013263373583520515	0.8237442922374429	0.0536097173385906	0.7339466421343147	0.02103197650648621
fgraminearum	fgraminearum	oldlabel	GAT	ORT_EXP		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.711977801268499	0.07279976178399335	0.12046778142068011	0.04822073267710248	0.12035748396894785	0.06999683690099269	0.12944960984947035	0.04458240439551074	0.07248704888846406	0.027549925829233043	0.7636363636363637	0.1852516715664985	0.5051162790697674	0.29069134876838554
fgraminearum	fgraminearum	newlabel	GAT	ORT_EXP		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7115079415088237	0.1260551960785521	0.20845927972793335	0.06329255031311211	0.20467924510076446	0.1019044648311107	0.25791248636273284	0.10439394522073078	0.1963308383834224	0.06932506131597552	0.5461187214611872	0.3111542979672825	0.7512419503219873	0.20552591495059025
fgraminearum	fgraminearum	oldlabel	GAT	ORT_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.732933932346723	0.08617883300800094	0.12553705657906472	0.03212709205252766	0.14007450432895202	0.03790882145165875	0.14442377739192272	0.019184859912012832	0.08427590798119862	0.008639420502202523	0.575	0.1874965564422076	0.7447441860465116	0.08600421336226928
fgraminearum	fgraminearum	newlabel	GAT	ORT_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.74998970817423	0.10984037248127676	0.22903542902328988	0.06840429715000984	0.2326095167148406	0.11393046889830104	0.27874008821825313	0.09212903878889307	0.19579300030055252	0.04929989151278297	0.7050228310502283	0.3031715894606822	0.6458141674333027	0.28253281630440247
fgraminearum	fgraminearum	oldlabel	GAT	EXP_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7544978858350951	0.06570131355589905	0.12907815036095444	0.04031038341679151	0.1555788011712851	0.035819585883653894	0.1453120570673187	0.028494685756887513	0.08120647517649822	0.017730996014974888	0.7568181818181818	0.0994821301283604	0.6092093023255815	0.1872570847586819
fgraminearum	fgraminearum	newlabel	GAT	EXP_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.842514482069119	0.02028598390712858	0.2908921229950523	0.03932326138880877	0.3310405618016496	0.030668198700410498	0.35742685267370133	0.02852546786136196	0.22952209932055942	0.024373518013623405	0.8173515981735159	0.02739726027397262	0.7188592456301748	0.043741710825679715
fgraminearum	fgraminearum	oldlabel	GAT	ORT_EXP_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.6912986257928119	0.09149432070600441	0.099679424072694	0.05011658486014995	0.12534189300522708	0.04450447476384404	0.1295735289530513	0.024618566476022067	0.07362001794122804	0.013799110277947746	0.6477272727272727	0.20693053891072796	0.6514418604651163	0.145392581324373
fgraminearum	fgraminearum	newlabel	GAT	ORT_EXP_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7012146454781079	0.10770233193702636	0.19079135031430655	0.0805775549051599	0.19601672379233331	0.09468178092655592	0.25934904851395896	0.07530548577992212	0.18190451361807272	0.04656342058799913	0.6255707762557077	0.2503016257625702	0.6770929162833486	0.19279277044625562
