raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0082497	40	FBgn0038290(Ensembl_flybase_gene_id); FBgn0038290(Ensembl_gene); FBgn0038290(UniProt_DR_FlyBase)	FBgn0038290	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_EMBL
7227.FBpp0082501	39	FBgn0038285(Ensembl_flybase_gene_id); FBgn0038285(Ensembl_gene); FBgn0038285(UniProt_DR_FlyBase)	FBgn0038285	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
7227.FBpp0082507	41			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082508	44	FBgn0038302(Ensembl_flybase_gene_id); FBgn0038302(Ensembl_gene); FBgn0038302(UniProt_DR_FlyBase)	FBgn0038302	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082510	40			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082511	94			unmapped		Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
7227.FBpp0082513	64			unmapped		Ensembl_protein_id; UniProt_DE_RecName_Full; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082516	127			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082521	63			unmapped		UniProt_DR_RefSeq; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082522	43			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082525	40	FBgn0038313(Ensembl_flybase_gene_id); FBgn0038313(Ensembl_gene); FBgn0038313(UniProt_DR_FlyBase)	FBgn0038313	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082539	49			unmapped		UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_UniProt
7227.FBpp0082540	41			unmapped		UniProt_DE_RecName_Full; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082541	48			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082543	41	FBgn0051301(Ensembl_flybase_gene_id); FBgn0051301(Ensembl_gene); FBgn0051301(UniProt_DR_FlyBase)	FBgn0051301	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082545	41	FBgn0038324(Ensembl_flybase_gene_id); FBgn0038324(Ensembl_gene); FBgn0038324(UniProt_DR_FlyBase)	FBgn0038324	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082547	62			unmapped		KEGG_PRODUCT; UniProt_DE_RecName_Full; UniProt_DE_AltName_Full; KEGG_EC; UniProt_DE_RecName_EC
7227.FBpp0082550	43			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082555	95			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt
7227.FBpp0082560	64	FBgn0038337(Ensembl_flybase_gene_id); FBgn0038337(Ensembl_gene); FBgn0038337(UniProt_DR_FlyBase)	FBgn0038337	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
7227.FBpp0082561	63	FBgn0038334(Ensembl_flybase_gene_id); FBgn0038334(Ensembl_gene); FBgn0038334(UniProt_DR_FlyBase)	FBgn0038334	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt
