raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
YKR013W	S000001721	mapped	alias_bridge	STRING aliases bridge
YKR014C	S000001722	mapped	alias_bridge	STRING aliases bridge
YKR015C	S000001723	mapped	alias_bridge	STRING aliases bridge
YKR016W	S000001724	mapped	alias_bridge	STRING aliases bridge
YKR017C	S000001725	mapped	alias_bridge	STRING aliases bridge
YKR018C	S000001726	mapped	alias_bridge	STRING aliases bridge
YKR019C	S000001727	mapped	alias_bridge	STRING aliases bridge
YKR020W	S000001728	mapped	alias_bridge	STRING aliases bridge
YKR021W	S000001729	mapped	alias_bridge	STRING aliases bridge
YKR022C	S000001730	mapped	alias_bridge	STRING aliases bridge
YKR023W	S000001731	mapped	alias_bridge	STRING aliases bridge
YKR024C	S000001732	mapped	alias_bridge	STRING aliases bridge
YKR025W	S000001733	mapped	alias_bridge	STRING aliases bridge
YKR026C	S000001734	mapped	alias_bridge	STRING aliases bridge
YKR027W	S000001735	mapped	alias_bridge	STRING aliases bridge
YKR028W	S000001736	mapped	alias_bridge	STRING aliases bridge
YKR029C	S000001737	mapped	alias_bridge	STRING aliases bridge
YKR030W	S000001738	mapped	alias_bridge	STRING aliases bridge
YKR031C	S000001739	mapped	alias_bridge	STRING aliases bridge
YKR032W		unmapped	none	no evidence found
YKR033C		unmapped	none	no evidence found
YKR034W	S000001742	mapped	alias_bridge	STRING aliases bridge
YKR035C		unmapped	none	no evidence found
YKR035W-A	S000006435	mapped	alias_bridge	STRING aliases bridge
YKR036C	S000001744	mapped	alias_bridge	STRING aliases bridge
YKR037C	S000001745	mapped	alias_bridge	STRING aliases bridge
YKR038C	S000001746	mapped	alias_bridge	STRING aliases bridge
YKR039W	S000001747	mapped	alias_bridge	STRING aliases bridge
YKR040C		unmapped	none	no evidence found
YKR041W	S000001749	mapped	alias_bridge	STRING aliases bridge
YKR042W	S000001750	mapped	alias_bridge	STRING aliases bridge
YKR043C	S000001751	mapped	alias_bridge	STRING aliases bridge
YKR044W	S000001752	mapped	alias_bridge	STRING aliases bridge
YKR045C	S000001753	mapped	alias_bridge	STRING aliases bridge
YKR046C	S000001754	mapped	alias_bridge	STRING aliases bridge
YKR047W		unmapped	none	no evidence found
YKR048C	S000001756	mapped	alias_bridge	STRING aliases bridge
YKR049C	S000001757	mapped	alias_bridge	STRING aliases bridge
YKR050W	S000001758	mapped	alias_bridge	STRING aliases bridge
YKR051W	S000001759	mapped	alias_bridge	STRING aliases bridge
YKR052C	S000001760	mapped	alias_bridge	STRING aliases bridge
YKR053C	S000001761	mapped	alias_bridge	STRING aliases bridge
YKR054C	S000001762	mapped	alias_bridge	STRING aliases bridge
YKR055W	S000001763	mapped	alias_bridge	STRING aliases bridge
YKR056W	S000001764	mapped	alias_bridge	STRING aliases bridge
YKR057W	S000001765	mapped	alias_bridge	STRING aliases bridge
YKR058W	S000001766	mapped	alias_bridge	STRING aliases bridge
YKR059W	S000003674	mapped	alias_bridge	STRING aliases bridge
YKR060W	S000001768	mapped	alias_bridge	STRING aliases bridge
YKR061W	S000001769	mapped	alias_bridge	STRING aliases bridge
YKR062W	S000001770	mapped	alias_bridge	STRING aliases bridge
YKR063C	S000001771	mapped	alias_bridge	STRING aliases bridge
YKR064W	S000001772	mapped	alias_bridge	STRING aliases bridge
YKR065C	S000001773	mapped	alias_bridge	STRING aliases bridge
YKR066C	S000001774	mapped	alias_bridge	STRING aliases bridge
YKR067W	S000001775	mapped	alias_bridge	STRING aliases bridge
YKR068C	S000001776	mapped	alias_bridge	STRING aliases bridge
YKR069W	S000001777	mapped	alias_bridge	STRING aliases bridge
YKR070W	S000001778	mapped	alias_bridge	STRING aliases bridge
YKR071C	S000001779	mapped	alias_bridge	STRING aliases bridge
YKR072C	S000001780	mapped	alias_bridge	STRING aliases bridge
YKR073C		unmapped	none	no evidence found
YKR074W	S000001782	mapped	alias_bridge	STRING aliases bridge
YKR075C	S000001783	mapped	alias_bridge	STRING aliases bridge
YKR075W-A		unmapped	none	no evidence found
YKR076W	S000001784	mapped	alias_bridge	STRING aliases bridge
YKR077W	S000001785	mapped	alias_bridge	STRING aliases bridge
YKR078W	S000001786	mapped	alias_bridge	STRING aliases bridge
YKR079C	S000001787	mapped	alias_bridge	STRING aliases bridge
YKR080W	S000001788	mapped	alias_bridge	STRING aliases bridge
YKR081C	S000001789	mapped	alias_bridge	STRING aliases bridge
YKR082W	S000001790	mapped	alias_bridge	STRING aliases bridge
YKR083C	S000001791	mapped	alias_bridge	STRING aliases bridge
YKR084C	S000001792	mapped	alias_bridge	STRING aliases bridge
YKR085C	S000001793	mapped	alias_bridge	STRING aliases bridge
YKR086W	S000001794	mapped	alias_bridge	STRING aliases bridge
YKR087C	S000001795	mapped	alias_bridge	STRING aliases bridge
YKR088C	S000001796	mapped	alias_bridge	STRING aliases bridge
YKR089C	S000001797	mapped	alias_bridge	STRING aliases bridge
YKR090W	S000001798	mapped	alias_bridge	STRING aliases bridge
YKR091W	S000001799	mapped	alias_bridge	STRING aliases bridge
YKR092C	S000001800	mapped	alias_bridge	STRING aliases bridge
YKR093W	S000001801	mapped	alias_bridge	STRING aliases bridge
YKR094C	S000001802	mapped	alias_bridge	STRING aliases bridge
YKR095W	S000001803	mapped	alias_bridge	STRING aliases bridge
YKR095W-A		unmapped	none	no evidence found
YKR096W	S000001804	mapped	alias_bridge	STRING aliases bridge
YKR097W	S000001805	mapped	alias_bridge	STRING aliases bridge
YKR098C	S000001806	mapped	alias_bridge	STRING aliases bridge
YKR099W	S000001807	mapped	alias_bridge	STRING aliases bridge
YKR100C	S000001808	mapped	alias_bridge	STRING aliases bridge
YKR101W	S000001809	mapped	alias_bridge	STRING aliases bridge
YKR102W	S000001810	mapped	alias_bridge	STRING aliases bridge
YKR103W	S000001811	mapped	alias_bridge	STRING aliases bridge
YKR104W	S000001812	mapped	alias_bridge	STRING aliases bridge
YKR105C	S000001813	mapped	alias_bridge	STRING aliases bridge
YKR106W	S000001814	mapped	alias_bridge	STRING aliases bridge
YLL001W	S000003924	mapped	alias_bridge	STRING aliases bridge
YLL002W	S000003925	mapped	alias_bridge	STRING aliases bridge
YLL003W	S000003926	mapped	alias_bridge	STRING aliases bridge
YLL004W	S000003927	mapped	alias_bridge	STRING aliases bridge
YLL005C	S000003928	mapped	alias_bridge	STRING aliases bridge
YLL006W	S000003929	mapped	alias_bridge	STRING aliases bridge
YLL006W-A	S000028560	mapped	alias_bridge	STRING aliases bridge
YLL007C	S000003930	mapped	alias_bridge	STRING aliases bridge
YLL008W	S000003931	mapped	alias_bridge	STRING aliases bridge
YLL009C	S000003932	mapped	alias_bridge	STRING aliases bridge
YLL010C	S000003933	mapped	alias_bridge	STRING aliases bridge
YLL011W	S000003934	mapped	alias_bridge	STRING aliases bridge
YLL012W	S000003935	mapped	alias_bridge	STRING aliases bridge
YLL013C	S000003936	mapped	alias_bridge	STRING aliases bridge
YLL014W	S000003937	mapped	alias_bridge	STRING aliases bridge
YLL015W	S000003938	mapped	alias_bridge	STRING aliases bridge
YLL018C	S000003941	mapped	alias_bridge	STRING aliases bridge
YLL018C-A	S000007245	mapped	alias_bridge	STRING aliases bridge
YLL019C	S000003942	mapped	alias_bridge	STRING aliases bridge
YLL019W-A		unmapped	none	no evidence found
YLL020C		unmapped	none	no evidence found
YLL021W	S000003944	mapped	alias_bridge	STRING aliases bridge
YLL022C		unmapped	none	no evidence found
YLL023C	S000003946	mapped	alias_bridge	STRING aliases bridge
YLL024C	S000003947	mapped	alias_bridge	STRING aliases bridge
YLL025W	S000003948	mapped	alias_bridge	STRING aliases bridge
YLL026W	S000003949	mapped	alias_bridge	STRING aliases bridge
YLL027W	S000003950	mapped	alias_bridge	STRING aliases bridge
YLL028W	S000003951	mapped	alias_bridge	STRING aliases bridge
YLL029W	S000003952	mapped	alias_bridge	STRING aliases bridge
YLL030C		unmapped	none	no evidence found
YLL031C	S000003954	mapped	alias_bridge	STRING aliases bridge
YLL032C	S000003955	mapped	alias_bridge	STRING aliases bridge
YLL033W	S000003956	mapped	alias_bridge	STRING aliases bridge
YLL034C	S000003957	mapped	alias_bridge	STRING aliases bridge
YLL035W	S000003958	mapped	alias_bridge	STRING aliases bridge
YLL036C	S000003959	mapped	alias_bridge	STRING aliases bridge
YLL037W		unmapped	none	no evidence found
YLL038C	S000003961	mapped	alias_bridge	STRING aliases bridge
YLL039C	S000003962	mapped	alias_bridge	STRING aliases bridge
YLL040C	S000003963	mapped	alias_bridge	STRING aliases bridge
YLL041C	S000003964	mapped	alias_bridge	STRING aliases bridge
YLL042C	S000003965	mapped	alias_bridge	STRING aliases bridge
YLL043W	S000003966	mapped	alias_bridge	STRING aliases bridge
YLL044W		unmapped	none	no evidence found
YLL045C	S000003968	mapped	alias_bridge	STRING aliases bridge
YLL046C	S000003969	mapped	alias_bridge	STRING aliases bridge
YLL047W		unmapped	none	no evidence found
YLL048C	S000003971	mapped	alias_bridge	STRING aliases bridge
YLL049W	S000003972	mapped	alias_bridge	STRING aliases bridge
YLL050C	S000003973	mapped	alias_bridge	STRING aliases bridge
YLL051C	S000003974	mapped	alias_bridge	STRING aliases bridge
YLL052C	S000003975	mapped	alias_bridge	STRING aliases bridge
YLL053C	S000003976	mapped	alias_bridge	STRING aliases bridge
YLL054C	S000003977	mapped	alias_bridge	STRING aliases bridge
