Gene,Cytoplasm,Nucleus,Mitochondrion,Cell membrane,Cytoskeleton,Ribosome,Endoplasmic reticulum,Secreted,Vacuole,Peroxisome,Golgi,Endosome,Lysosome
S000004451,1,1,0,1,0,0,1,0,1,0,0,0,0
S000005336,1,1,1,1,1,1,0,1,0,0,0,0,0
S000001160,1,1,0,1,1,1,0,1,0,0,0,0,0
S000000066,1,1,1,0,0,1,1,0,0,0,0,0,0
S000003081,1,1,0,0,1,0,0,1,0,0,0,0,0
S000003626,1,1,1,1,1,1,0,1,0,1,0,0,0
S000005326,1,1,1,1,1,1,1,1,1,1,1,1,0
S000004831,1,1,0,1,1,0,1,0,1,0,1,1,1
S000006298,1,1,1,0,1,0,0,0,0,0,0,0,0
S000003411,1,1,0,0,1,0,0,0,0,0,0,0,0
S000002675,1,1,1,0,0,0,0,0,0,0,0,0,0
S000005601,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002300,1,1,1,1,0,0,0,1,0,1,1,1,0
S000006006,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003012,1,1,1,1,1,1,0,1,0,0,0,0,0
S000001877,1,1,1,1,1,1,1,1,1,1,1,1,0
S000002579,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004630,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004212,1,1,1,1,1,1,1,1,0,1,1,0,0
S000005675,1,1,1,1,0,0,1,1,1,0,1,0,1
S000005931,1,1,1,1,1,0,1,1,1,0,1,1,1
S000001787,1,1,1,1,1,1,1,1,1,0,0,0,0
S000006173,1,1,1,1,0,1,1,1,1,1,0,0,1
S000004595,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002165,1,1,1,1,1,1,1,1,1,0,1,1,1
S000006252,1,1,1,1,0,0,1,0,0,1,0,0,0
S000003551,1,1,1,1,1,1,1,1,0,0,1,0,0
S000005820,1,1,0,0,1,1,0,0,0,0,0,1,0
S000001507,1,1,1,1,1,1,0,0,1,1,0,0,0
S000005603,1,1,1,0,0,0,0,0,0,0,0,0,0
S000005669,1,1,1,1,1,1,1,1,1,1,0,1,0
S000003237,1,1,0,1,1,1,0,0,0,0,0,0,0
S000001231,1,1,1,1,0,1,1,0,1,0,1,0,0
S000003448,1,1,1,1,0,0,1,1,1,1,1,0,0
S000003407,1,1,1,1,1,1,1,1,1,1,1,1,1
S000001542,1,1,1,1,1,0,0,0,0,0,0,0,0
S000006237,1,1,1,1,1,1,1,1,1,0,0,0,1
S000000456,1,1,1,1,1,1,0,1,1,0,0,0,0
S000005102,1,1,1,1,0,0,1,1,0,0,1,0,0
S000000347,1,1,1,1,1,1,1,1,1,0,0,0,1
S000001084,1,1,1,1,1,1,1,1,1,1,1,1,0
S000001665,1,1,1,1,1,1,1,1,1,1,1,1,0
S000005205,1,1,1,1,1,1,0,0,0,1,1,0,0
S000002857,1,1,1,1,1,1,0,0,0,1,0,0,0
S000004493,1,1,1,1,1,0,1,0,1,0,1,0,0
S000003351,1,1,1,1,1,1,1,0,1,0,1,0,0
S000002798,1,1,1,1,1,1,1,1,1,0,0,1,1
S000000564,1,1,1,1,1,1,0,0,0,0,0,0,0
S000005504,1,1,0,0,0,1,0,0,1,0,0,1,0
S000004422,1,1,1,1,1,1,1,1,0,0,0,0,0
S000005438,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002876,1,1,1,1,1,0,1,1,1,1,1,1,1
S000003610,1,1,1,1,1,1,1,1,0,0,0,0,0
S000005736,1,1,1,1,1,1,0,0,0,0,0,0,0
S000006164,1,1,1,1,0,1,1,1,0,0,1,0,0
S000000400,1,1,1,1,1,1,1,1,1,1,1,1,1
S000000415,1,1,0,0,1,1,0,0,0,0,0,0,0
S000002986,1,1,1,1,1,1,1,0,0,0,0,0,0
S000003605,1,1,0,0,1,1,0,1,1,0,0,0,0
S000004550,1,1,1,1,1,1,1,1,1,0,1,1,0
S000002459,1,1,1,1,1,1,0,1,0,0,0,0,0
S000000346,1,1,1,1,0,1,0,1,0,0,0,0,0
S000005382,1,1,0,0,0,1,0,0,0,0,0,0,0
S000000130,1,1,0,1,1,1,0,1,0,0,0,0,0
S000004913,1,1,1,1,0,0,1,1,1,1,1,1,0
S000004296,1,1,1,1,1,0,1,1,1,1,1,1,1
S000000650,1,1,1,1,1,0,1,0,1,0,0,1,1
S000002872,1,1,1,0,0,0,0,0,0,0,0,0,0
S000003345,1,1,0,0,1,0,0,0,0,0,0,0,0
S000005081,1,1,1,1,0,1,0,0,0,0,0,0,0
S000004665,1,1,1,1,1,1,0,1,0,0,1,0,0
S000003998,1,1,1,1,1,1,1,1,1,1,0,0,0
S000003015,1,1,0,1,1,0,1,1,1,0,1,0,1
S000004741,1,1,1,1,0,0,1,1,1,0,1,0,0
S000004983,1,1,1,1,0,0,1,0,0,1,1,0,0
S000004816,1,1,1,1,1,1,1,1,1,1,1,1,1
