raw_probe_id	mapped_gene_id	mapping_status	mapping_method
FGRAMPH1_01G06729	FGRAMPH1_01G06729	mapped	direct_gene_id
FGRAMPH1_01G00745	FGRAMPH1_01G00745	mapped	direct_gene_id
FGRAMPH1_01G09995	FGRAMPH1_01G09995	mapped	direct_gene_id
FGRAMPH1_01G13409	FGRAMPH1_01G13409	mapped	direct_gene_id
FGRAMPH1_01G04885	FGRAMPH1_01G04885	mapped	direct_gene_id
FGRAMPH1_01G17531	FGRAMPH1_01G17531	mapped	direct_gene_id
FGRAMPH1_01G23949	FGRAMPH1_01G23949	mapped	direct_gene_id
FGRAMPH1_01G14551	FGRAMPH1_01G14551	mapped	direct_gene_id
FGRAMPH1_01G19953	FGRAMPH1_01G19953	mapped	direct_gene_id
FGRAMPH1_01G14983	FGRAMPH1_01G14983	mapped	direct_gene_id
FGRAMPH1_01G07471	FGRAMPH1_01G07471	mapped	direct_gene_id
FGRAMPH1_01G13173	FGRAMPH1_01G13173	mapped	direct_gene_id
FGRAMPH1_01G01033	FGRAMPH1_01G01033	mapped	direct_gene_id
FGRAMPH1_01G07367	FGRAMPH1_01G07367	mapped	direct_gene_id
FGRAMPH1_01G22673	FGRAMPH1_01G22673	mapped	direct_gene_id
FGRAMPH1_01G14347	FGRAMPH1_01G14347	mapped	direct_gene_id
FGRAMPH1_01G09165	FGRAMPH1_01G09165	mapped	direct_gene_id
FGRAMPH1_01G20923	FGRAMPH1_01G20923	mapped	direct_gene_id
FGRAMPH1_01G11111	FGRAMPH1_01G11111	mapped	direct_gene_id
FGRAMPH1_01G14753	FGRAMPH1_01G14753	mapped	direct_gene_id
FGRAMPH1_01G11641	FGRAMPH1_01G11641	mapped	direct_gene_id
FGRAMPH1_01G23309	FGRAMPH1_01G23309	mapped	direct_gene_id
FGRAMPH1_01G06721	FGRAMPH1_01G06721	mapped	direct_gene_id
FGRAMPH1_01G11927	FGRAMPH1_01G11927	mapped	direct_gene_id
FGRAMPH1_01G06977	FGRAMPH1_01G06977	mapped	direct_gene_id
FGRAMPH1_01G16611	FGRAMPH1_01G16611	mapped	direct_gene_id
FGRAMPH1_01G15607	FGRAMPH1_01G15607	mapped	direct_gene_id
FGRAMPH1_01G19363	FGRAMPH1_01G19363	mapped	direct_gene_id
FGRAMPH1_01G19303	FGRAMPH1_01G19303	mapped	direct_gene_id
FGRAMPH1_01G04825	FGRAMPH1_01G04825	mapped	direct_gene_id
FGRAMPH1_01G22677	FGRAMPH1_01G22677	mapped	direct_gene_id
FGRAMPH1_01G11377	FGRAMPH1_01G11377	mapped	direct_gene_id
FGRAMPH1_01G20807	FGRAMPH1_01G20807	mapped	direct_gene_id
FGRAMPH1_01G10265	FGRAMPH1_01G10265	mapped	direct_gene_id
FGRAMPH1_01G12917	FGRAMPH1_01G12917	mapped	direct_gene_id
FGRAMPH1_01G01095	FGRAMPH1_01G01095	mapped	direct_gene_id
FGRAMPH1_01G18421	FGRAMPH1_01G18421	mapped	direct_gene_id
FGRAMPH1_01G08305	FGRAMPH1_01G08305	mapped	direct_gene_id
FGRAMPH1_01G02865	FGRAMPH1_01G02865	mapped	direct_gene_id
FGRAMPH1_01G21253	FGRAMPH1_01G21253	mapped	direct_gene_id
FGRAMPH1_01G18335	FGRAMPH1_01G18335	mapped	direct_gene_id
FGRAMPH1_01G07385	FGRAMPH1_01G07385	mapped	direct_gene_id
FGRAMPH1_01G06471	FGRAMPH1_01G06471	mapped	direct_gene_id
FGRAMPH1_01G19259	FGRAMPH1_01G19259	mapped	direct_gene_id
FGRAMPH1_01G25977	FGRAMPH1_01G25977	mapped	direct_gene_id
FGRAMPH1_01G27243	FGRAMPH1_01G27243	mapped	direct_gene_id
FGRAMPH1_01G15633	FGRAMPH1_01G15633	mapped	direct_gene_id
FGRAMPH1_01G19659	FGRAMPH1_01G19659	mapped	direct_gene_id
FGRAMPH1_01G23031	FGRAMPH1_01G23031	mapped	direct_gene_id
FGRAMPH1_01G22873	FGRAMPH1_01G22873	mapped	direct_gene_id
FGRAMPH1_01G23375	FGRAMPH1_01G23375	mapped	direct_gene_id
FGRAMPH1_01G20341	FGRAMPH1_01G20341	mapped	direct_gene_id
FGRAMPH1_01G03695	FGRAMPH1_01G03695	mapped	direct_gene_id
FGRAMPH1_01G10501	FGRAMPH1_01G10501	mapped	direct_gene_id
FGRAMPH1_01G21035	FGRAMPH1_01G21035	mapped	direct_gene_id
FGRAMPH1_01G03885	FGRAMPH1_01G03885	mapped	direct_gene_id
FGRAMPH1_01G19703	FGRAMPH1_01G19703	mapped	direct_gene_id
FGRAMPH1_01G19097	FGRAMPH1_01G19097	mapped	direct_gene_id
FGRAMPH1_01G21249	FGRAMPH1_01G21249	mapped	direct_gene_id
FGRAMPH1_01G05591	FGRAMPH1_01G05591	mapped	direct_gene_id
FGRAMPH1_01G22563	FGRAMPH1_01G22563	mapped	direct_gene_id
FGRAMPH1_01G04841	FGRAMPH1_01G04841	mapped	direct_gene_id
FGRAMPH1_01G11113	FGRAMPH1_01G11113	mapped	direct_gene_id
FGRAMPH1_01G01597	FGRAMPH1_01G01597	mapped	direct_gene_id
FGRAMPH1_01G26145	FGRAMPH1_01G26145	mapped	direct_gene_id
FGRAMPH1_01G13401	FGRAMPH1_01G13401	mapped	direct_gene_id
FGRAMPH1_01G02561	FGRAMPH1_01G02561	mapped	direct_gene_id
FGRAMPH1_01G10643	FGRAMPH1_01G10643	mapped	direct_gene_id
FGRAMPH1_01G22431	FGRAMPH1_01G22431	mapped	direct_gene_id
FGRAMPH1_01G20381	FGRAMPH1_01G20381	mapped	direct_gene_id
FGRAMPH1_01G26761	FGRAMPH1_01G26761	mapped	direct_gene_id
FGRAMPH1_01G10349	FGRAMPH1_01G10349	mapped	direct_gene_id
FGRAMPH1_01G20229	FGRAMPH1_01G20229	mapped	direct_gene_id
FGRAMPH1_01G14579	FGRAMPH1_01G14579	mapped	direct_gene_id
FGRAMPH1_01G05919	FGRAMPH1_01G05919	mapped	direct_gene_id
FGRAMPH1_01G02549	FGRAMPH1_01G02549	mapped	direct_gene_id
FGRAMPH1_01G16943	FGRAMPH1_01G16943	mapped	direct_gene_id
FGRAMPH1_01G09063	FGRAMPH1_01G09063	mapped	direct_gene_id
FGRAMPH1_01G04723	FGRAMPH1_01G04723	mapped	direct_gene_id
FGRAMPH1_01G23279	FGRAMPH1_01G23279	mapped	direct_gene_id
FGRAMPH1_01G03399	FGRAMPH1_01G03399	mapped	direct_gene_id
FGRAMPH1_01G10697	FGRAMPH1_01G10697	mapped	direct_gene_id
FGRAMPH1_01G06985	FGRAMPH1_01G06985	mapped	direct_gene_id
FGRAMPH1_01G07003	FGRAMPH1_01G07003	mapped	direct_gene_id
FGRAMPH1_01G19301	FGRAMPH1_01G19301	mapped	direct_gene_id
FGRAMPH1_01G09687	FGRAMPH1_01G09687	mapped	direct_gene_id
FGRAMPH1_01G24033	FGRAMPH1_01G24033	mapped	direct_gene_id
FGRAMPH1_01G25827	FGRAMPH1_01G25827	mapped	direct_gene_id
FGRAMPH1_01G17763	FGRAMPH1_01G17763	mapped	direct_gene_id
FGRAMPH1_01G13439	FGRAMPH1_01G13439	mapped	direct_gene_id
FGRAMPH1_01G14799	FGRAMPH1_01G14799	mapped	direct_gene_id
FGRAMPH1_01G07071	FGRAMPH1_01G07071	mapped	direct_gene_id
FGRAMPH1_01G07633	FGRAMPH1_01G07633	mapped	direct_gene_id
FGRAMPH1_01G07361	FGRAMPH1_01G07361	mapped	direct_gene_id
FGRAMPH1_01G07129	FGRAMPH1_01G07129	mapped	direct_gene_id
FGRAMPH1_01G11885	FGRAMPH1_01G11885	mapped	direct_gene_id
FGRAMPH1_01G24441	FGRAMPH1_01G24441	mapped	direct_gene_id
FGRAMPH1_01G27043	FGRAMPH1_01G27043	mapped	direct_gene_id
FGRAMPH1_01G17757	FGRAMPH1_01G17757	mapped	direct_gene_id
FGRAMPH1_01G04891	FGRAMPH1_01G04891	mapped	direct_gene_id
FGRAMPH1_01G15603	FGRAMPH1_01G15603	mapped	direct_gene_id
FGRAMPH1_01G03165	FGRAMPH1_01G03165	mapped	direct_gene_id
FGRAMPH1_01G05923	FGRAMPH1_01G05923	mapped	direct_gene_id
FGRAMPH1_01G16709	FGRAMPH1_01G16709	mapped	direct_gene_id
FGRAMPH1_01G21217	FGRAMPH1_01G21217	mapped	direct_gene_id
FGRAMPH1_01G16217	FGRAMPH1_01G16217	mapped	direct_gene_id
FGRAMPH1_01G11567	FGRAMPH1_01G11567	mapped	direct_gene_id
FGRAMPH1_01G26813	FGRAMPH1_01G26813	mapped	direct_gene_id
FGRAMPH1_01G17825	FGRAMPH1_01G17825	mapped	direct_gene_id
