node_id	species	protocol	label	split	seed	baseline_pred_label	esm2_pred_label	baseline_pred_score	esm2_pred_score	transition	transition_display
FGRAMPH1_01G01391	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0526164099574089	5.844368103786757e-18	TN_stable	TN_stable
FGRAMPH1_01G01395	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0400828383862972	6.249687589275285e-14	TN_stable	TN_stable
FGRAMPH1_01G01397	fgraminearum	fgraminearum_newlabel	1	test	1029	1	0	0.9489790201187134	0.4160455465316772	TP_to_FN_regressed	TP_to_FN_regressed
FGRAMPH1_01G01399	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.9064083695411682	0.9105141758918762	FP_persistent	persistent_FP
FGRAMPH1_01G01413	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	2.6485303533663185e-11	5.977542848992646e-15	TN_stable	TN_stable
FGRAMPH1_01G01445	fgraminearum	fgraminearum_newlabel	1	test	1029	0	0	0.3514970242977142	0.2317859530448913	FN_persistent	persistent_FN
FGRAMPH1_01G01453	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0045961579307913	4.329454270646238e-07	TN_stable	TN_stable
FGRAMPH1_01G01483	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1224442422389984	0.0014601640868932	TN_stable	TN_stable
FGRAMPH1_01G01497	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.2273677289485931	0.7387257814407349	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G01503	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8605841994285583	0.86474609375	FP_persistent	persistent_FP
FGRAMPH1_01G01511	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	3.274046321166679e-05	0.0333550386130809	TN_stable	TN_stable
FGRAMPH1_01G01521	fgraminearum	fgraminearum_newlabel	1	test	1029	0	0	0.2590472400188446	0.0049347882159054	FN_persistent	persistent_FN
FGRAMPH1_01G01527	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1704345494508743	0.3889429569244385	TN_stable	TN_stable
FGRAMPH1_01G01539	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2065565586090088	7.445107030878971e-11	TN_stable	TN_stable
FGRAMPH1_01G01549	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.5885213613510132	0.8813948035240173	TP_stable	TP_stable
FGRAMPH1_01G01563	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.8243298530578613	0.0714398846030235	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G01581	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0007966024568304	2.731175641201844e-07	TN_stable	TN_stable
FGRAMPH1_01G01593	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0403536558151245	0.009903616271913	TN_stable	TN_stable
FGRAMPH1_01G01603	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8594446778297424	0.9045513868331908	FP_persistent	persistent_FP
FGRAMPH1_01G01643	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0988682806491851	8.827586270854226e-07	TN_stable	TN_stable
FGRAMPH1_01G01647	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.610017716884613	0.487061858177185	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G01649	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0156365502625703	4.790731909296311e-18	TN_stable	TN_stable
FGRAMPH1_01G01653	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.4863672256469726	0.0011127711040899	TN_stable	TN_stable
FGRAMPH1_01G01685	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0448463819921016	8.207178686658878e-11	TN_stable	TN_stable
FGRAMPH1_01G01719	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.3419964611530304	0.190574362874031	TN_stable	TN_stable
FGRAMPH1_01G01781	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.24367056787014	0.0003847354382742	TN_stable	TN_stable
FGRAMPH1_01G01797	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.6461324095726013	0.8736357688903809	FP_persistent	persistent_FP
FGRAMPH1_01G01849	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.5257160663604736	0.2209669649600982	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G01853	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9484912157058716	0.9877997636795044	TP_stable	TP_stable
FGRAMPH1_01G01857	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0586814098060131	8.994793104788457e-11	TN_stable	TN_stable
FGRAMPH1_01G01881	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.8943566083908081	0.6066676378250122	TP_stable	TP_stable
FGRAMPH1_01G01889	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.4439048767089844	0.9683573842048644	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G01907	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9557883143424988	0.9834923148155212	TP_stable	TP_stable
FGRAMPH1_01G01917	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.790428638458252	0.2986826598644256	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G01925	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0434283912181854	4.450499968555732e-09	TN_stable	TN_stable
FGRAMPH1_01G01927	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0244568455964326	0.0003272718167863	TN_stable	TN_stable
FGRAMPH1_01G01929	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.4429134130477905	0.4383607506752014	TN_stable	TN_stable
FGRAMPH1_01G01945	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0045828805305063	0.3968694806098938	TN_stable	TN_stable
