node_id	species	protocol	label	split	rescue_count	rescue_frequency	stable_rescued_ge2	confidence_tier	mean_delta_probability	std_delta_probability
FGRAMPH1_01G17979	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.047468101978302	0.00691527239299829
FGRAMPH1_01G18045	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.00357584953308101	0.021341396422054532
FGRAMPH1_01G18095	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.06586571931838989	0.00784630489972435
FGRAMPH1_01G18115	fgraminearum	fgraminearum_newlabel	1	test	1	0.2	False	seed_specific_rescued	0.13705460727214813	0.13878409046534282
FGRAMPH1_01G18167	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.047760856151580836	0.22339130715176095
FGRAMPH1_01G18171	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.7119261234998703	0.04832833286205836
FGRAMPH1_01G18365	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.0026777505874633566	0.002108197963727708
FGRAMPH1_01G18433	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.487890399992466	0.15430356242293533
FGRAMPH1_01G18513	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.036360514163970924	0.004019400338982063
FGRAMPH1_01G18923	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.6201092150062324	0.23188379429865258
FGRAMPH1_01G18925	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.3857153385877609	0.17697341530885335
FGRAMPH1_01G19153	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.27680336236953734	0.19508309385966724
FGRAMPH1_01G19275	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.03401026725769043	0.0685525107332168
FGRAMPH1_01G19281	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.10000337362289433	0.020970018853514304
FGRAMPH1_01G19417	fgraminearum	fgraminearum_newlabel	1	test	2	0.4	True	stable_rescued	0.16972798109054565	0.1908976123235673
FGRAMPH1_01G19527	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.05594918727874756	0.11561987024972768
FGRAMPH1_01G19535	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.2116590142250061	0.06323881052733947
FGRAMPH1_01G19633	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.06564608812332158	0.01960738982303292
FGRAMPH1_01G19685	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.11344343423843384	0.023621296509693156
FGRAMPH1_01G19753	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.04597151279449456	0.08047805091860201
FGRAMPH1_01G19767	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.17842468023300168	0.028907719433138707
FGRAMPH1_01G19799	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.14949654340744017	0.017229265130935645
FGRAMPH1_01G19955	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.24933239221572875	0.0476963515456605
FGRAMPH1_01G20029	fgraminearum	fgraminearum_newlabel	1	test	1	0.2	False	seed_specific_rescued	0.17691382765769958	0.07225551213383533
FGRAMPH1_01G20121	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.1620007872581482	0.06750154493771363
FGRAMPH1_01G20149	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.08683155775070188	0.07864211746420789
FGRAMPH1_01G20153	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.20472940206527707	0.12056081115062384
FGRAMPH1_01G20191	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.11365653276443484	0.06359634624985351
FGRAMPH1_01G20237	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.0696076393127441	0.04558110037100372
FGRAMPH1_01G20287	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.2810319185256958	0.042417255372823315
FGRAMPH1_01G20327	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.09173206052801104	0.035304625004525095
FGRAMPH1_01G20353	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.16075618267059327	0.043795584432663584
