raw_probe_id	mapped_gene_id	mapping_status	mapping_method
Q6ZNC8	ENSG00000172197	mapped	alias_bridge
Q6ZNE5	ENSG00000126775	mapped	alias_bridge
Q6ZNE9	ENSG00000188282	mapped	alias_bridge
Q6ZNF0	ENSG00000183760	mapped	alias_bridge
Q6ZNG0	ENSG00000177842	mapped	alias_bridge
Q6ZNG1	ENSG00000189190	mapped	alias_bridge
Q6ZNG2	ENSG00000185610	mapped	alias_bridge
Q6ZNG9	ENSG00000184619	mapped	alias_bridge
Q6ZNH5	ENSG00000174586	mapped	alias_bridge
Q6ZNI0	ENSG00000124091	mapped	alias_bridge
Q6ZNJ1	ENSG00000160796	mapped	alias_bridge
Q6ZNK6	ENSG00000255833	mapped	alias_bridge
Q6ZNL6	ENSG00000154783	mapped	alias_bridge
Q6ZNM6	ENSG00000196900	mapped	alias_bridge
Q6ZNQ3	ENSG00000214954	mapped	alias_bridge
Q6ZNR0	ENSG00000142046	mapped	alias_bridge
Q6ZNW5	ENSG00000183208	mapped	alias_bridge
Q6ZP01	ENSG00000177483	mapped	alias_bridge
Q6ZP29	ENSG00000040487	mapped	alias_bridge
Q6ZP65	ENSG00000135127	mapped	alias_bridge
Q6ZP68		unmapped	none
Q6ZP80	ENSG00000170417	mapped	alias_bridge
Q6ZP82	ENSG00000163492	mapped	alias_bridge
Q6ZPD8	ENSG00000184210	mapped	alias_bridge
Q6ZPD9	ENSG00000178904	mapped	alias_bridge
Q6ZQN5	ENSG00000186766	mapped	alias_bridge
Q6ZQN7	ENSG00000173930	mapped	alias_bridge
Q6ZQQ2	ENSG00000214929	mapped	alias_bridge
Q6ZQQ6	ENSG00000171804	mapped	alias_bridge
Q6ZQR2	ENSG00000188523	mapped	alias_bridge
Q6ZQV5		unmapped	none
Q6ZQW0		unmapped	none
Q6ZQX7	ENSG00000187624	mapped	alias_bridge
Q6ZQY3	ENSG00000144644	mapped	alias_bridge
Q6ZR08	ENSG00000174844	mapped	alias_bridge
Q6ZR37		unmapped	none
Q6ZR52	ENSG00000196268	mapped	alias_bridge
Q6ZR62	ENSG00000187823	mapped	alias_bridge
Q6ZR85	ENSG00000205710	mapped	alias_bridge
Q6ZRF8	ENSG00000158286	mapped	alias_bridge
Q6ZRH7	ENSG00000099338	mapped	alias_bridge
Q6ZRI6	ENSG00000167173	mapped	alias_bridge
Q6ZRI8	ENSG00000147256	mapped	alias_bridge
Q6ZRK6	ENSG00000186714	mapped	alias_bridge
Q6ZRP0	ENSG00000233701	mapped	alias_bridge
Q6ZRP7	ENSG00000165661	mapped	alias_bridge
Q6ZRQ5	ENSG00000146263	mapped	alias_bridge
Q6ZRR5	ENSG00000181264	mapped	alias_bridge
Q6ZRS2	ENSG00000080603	mapped	alias_bridge
Q6ZRS4	ENSG00000180347	mapped	alias_bridge
Q6ZRT6	ENSG00000184814	mapped	alias_bridge
Q6ZRV2	ENSG00000180921	mapped	alias_bridge
Q6ZRV3		unmapped	none
Q6ZRY4	ENSG00000166831	mapped	alias_bridge
Q6ZRZ4	ENSG00000213694	mapped	alias_bridge
Q6ZS02		unmapped	none
Q6ZS10	ENSG00000187912	mapped	alias_bridge
Q6ZS11	ENSG00000187994	mapped	alias_bridge
Q6ZS17	ENSG00000039523	mapped	alias_bridge
Q6ZS27	ENSG00000182983	mapped	alias_bridge
Q6ZS30	ENSG00000144426	mapped	alias_bridge
Q6ZS62		unmapped	none
Q6ZS72	ENSG00000188305	mapped	alias_bridge
Q6ZS81	ENSG00000128815	mapped	alias_bridge
Q6ZS82	ENSG00000186326	mapped	alias_bridge
Q6ZS86	ENSG00000175066	mapped	alias_bridge
Q6ZS94		unmapped	none
Q6ZSA7	ENSG00000183908	mapped	alias_bridge
Q6ZSB3		unmapped	none
Q6ZSB9	ENSG00000168826	mapped	alias_bridge
Q6ZSC3	ENSG00000184898	mapped	alias_bridge
Q6ZSG1	ENSG00000141622	mapped	alias_bridge
Q6ZSG2	ENSG00000188916	mapped	alias_bridge
Q6ZSI9	ENSG00000182472	mapped	alias_bridge
Q6ZSJ8	ENSG00000197982	mapped	alias_bridge
Q6ZSJ9	ENSG00000188803	mapped	alias_bridge
Q6ZSM3	ENSG00000152779	mapped	alias_bridge
Q6ZSS3	ENSG00000172888	mapped	alias_bridge
Q6ZSS7	ENSG00000151690	mapped	alias_bridge
Q6ZST4	ENSG00000214402	mapped	alias_bridge
Q6ZSU1		unmapped	none
Q6ZSY5	ENSG00000049769	mapped	alias_bridge
Q6ZSZ5	ENSG00000104880	mapped	alias_bridge
Q6ZSZ6	ENSG00000179981	mapped	alias_bridge
Q6ZT07	ENSG00000109436	mapped	alias_bridge
Q6ZT12	ENSG00000144357	mapped	alias_bridge
Q6ZT21	ENSG00000188167	mapped	alias_bridge
Q6ZT52	ENSG00000183114	mapped	alias_bridge
Q6ZT77		unmapped	none
Q6ZT89	ENSG00000145832	mapped	alias_bridge
Q6ZT98	ENSG00000137941	mapped	alias_bridge
Q6ZTA4	ENSG00000119283	mapped	alias_bridge
Q6ZTB9		unmapped	none
Q6ZTI6	ENSG00000178882	mapped	alias_bridge
Q6ZTN6	ENSG00000172932	mapped	alias_bridge
Q6ZTQ3	ENSG00000169435	mapped	alias_bridge
Q6ZTQ4	ENSG00000128536	mapped	alias_bridge
Q6ZTR5	ENSG00000165164	mapped	alias_bridge
Q6ZTR7	ENSG00000153789	mapped	alias_bridge
Q6ZTU2		unmapped	none
Q6ZTW0	ENSG00000141933	mapped	alias_bridge
Q6ZTY9		unmapped	none
Q6ZTZ1	ENSG00000188981	mapped	alias_bridge
Q6ZU15	ENSG00000154997	mapped	alias_bridge
Q6ZU35	ENSG00000109265	mapped	alias_bridge
Q6ZU52	ENSG00000189367	mapped	alias_bridge
Q6ZU64	ENSG00000181378	mapped	alias_bridge
Q6ZU65	ENSG00000157741	mapped	alias_bridge
Q6ZU67	ENSG00000188848	mapped	alias_bridge
Q6ZU69	ENSG00000205108	mapped	alias_bridge
Q6ZU80	ENSG00000100629	mapped	alias_bridge
Q6ZUB0		unmapped	none
Q6ZUB1	ENSG00000177992	mapped	alias_bridge
Q6ZUF6		unmapped	none
Q6ZUI0	ENSG00000188001	mapped	alias_bridge
Q6ZUJ4	ENSG00000188315	mapped	alias_bridge
Q6ZUJ8	ENSG00000155629	mapped	alias_bridge
Q6ZUK4	ENSG00000196932	mapped	alias_bridge
Q6ZUL3	ENSG00000196166	mapped	alias_bridge
Q6ZUM4	ENSG00000159314	mapped	alias_bridge
