source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC1D4.12	rad15	E	SPAC1D4.12.1:pep	locus_exact	matched
PomBase	SPAC1D4.14	tho2	E	SPAC1D4.14.1:pep	locus_exact	matched
PomBase	SPAC1F12.08	cab4	E	SPAC1F12.08.1:pep	locus_exact	matched
PomBase	SPAC1F12.09	gpi17	E	SPAC1F12.09.1:pep	locus_exact	matched
PomBase	SPAC1F5.02	pdi1	E	SPAC1F5.02.1:pep	locus_exact	matched
PomBase	SPAC1F5.04c	cdc12	E	SPAC1F5.04c.1:pep	locus_exact	matched
PomBase	SPAC1F5.05c	mso1	E	SPAC1F5.05c.1:pep	locus_exact	matched
PomBase	SPAC1F5.06	lsh1	E	SPAC1F5.06.1:pep	locus_exact	matched
PomBase	SPAC1F5.11c	tra2	E	SPAC1F5.11c.1:pep	locus_exact	matched
PomBase	SPAC1F7.02c	has1	E	SPAC1F7.02c.1:pep	locus_exact	matched
PomBase	SPAC1F7.03	pkd2	E	SPAC1F7.03.1:pep	locus_exact	matched
PomBase	SPAC1F7.04	rho1	E	SPAC1F7.04.1:pep	locus_exact	matched
PomBase	SPAC1F7.05	cdc22	E	SPAC1F7.05.1:pep	locus_exact	matched
PomBase	SPAC1F7.14c	tam6	E	SPAC1F7.14c.1:pep	locus_exact	matched
PomBase	SPAC1F8.05	isp3	E	SPAC1F8.05.1:pep	locus_exact	matched
PomBase	SPAC1F8.07c	pdc101	E	SPAC1F8.07c.1:pep	locus_exact	matched
PomBase	SPAC20G4.06c	adf1	E	SPAC20G4.06c.1:pep	locus_exact	matched
PomBase	SPAC20G8.01	cdc17	E	SPAC20G8.01.1:pep	locus_exact	matched
PomBase	SPAC20G8.03	itr2	E	SPAC20G8.03.1:pep	locus_exact	matched
PomBase	SPAC20G8.05c	cdc15	E	SPAC20G8.05c.1:pep	locus_exact	matched
PomBase	SPAC20G8.06	not1	E	SPAC20G8.06.1:pep	locus_exact	matched
PomBase	SPAC20G8.09c	nat10	E	SPAC20G8.09c.1:pep	locus_exact	matched
PomBase	SPAC20H4.01	utp5	E	SPAC20H4.01.1:pep	locus_exact	matched
PomBase	SPAC21E11.06	tif224	E	SPAC21E11.06.1:pep	locus_exact	matched
PomBase	SPAC21E11.07	iba57	E	SPAC21E11.07.1:pep	locus_exact	matched
PomBase	SPAC21E11.08	lcb2	E	SPAC21E11.08.1:pep	locus_exact	matched
PomBase	SPAC222.03c	tim10	E	SPAC222.03c.1:pep	locus_exact	matched
PomBase	SPAC222.04c	ies6	E	SPAC222.04c.1:pep	locus_exact	matched
PomBase	SPAC222.06	mak16	E	SPAC222.06.1:pep	locus_exact	matched
PomBase	SPAC222.09	seb1	E	SPAC222.09.1:pep	locus_exact	matched
PomBase	SPAC222.10c	byr4	E	SPAC222.10c.1:pep	locus_exact	matched
PomBase	SPAC222.11	hem13	E	SPAC222.11.1:pep	locus_exact	matched
PomBase	SPAC227.02c	rrp15	E	SPAC227.02c.1:pep	locus_exact	matched
PomBase	SPAC227.08c	yth1	E	SPAC227.08c.1:pep	locus_exact	matched
PomBase	SPAC227.09	fol3	E	SPAC227.09.1:pep	locus_exact	matched
PomBase	SPAC227.12	rna4	E	SPAC227.12.1:pep	locus_exact	matched
PomBase	SPAC227.16c	psf3	E	SPAC227.16c.1:pep	locus_exact	matched
PomBase	SPAC22A12.05	rpc11	E	SPAC22A12.05.1:pep	locus_exact	matched
PomBase	SPAC22A12.08c	crd1	E	SPAC22A12.08c.1:pep	locus_exact	matched
PomBase	SPAC22A12.09c	sap114	E	SPAC22A12.09c.1:pep	locus_exact	matched
PomBase	SPAC22A12.12c	rrp40	E	SPAC22A12.12c.1:pep	locus_exact	matched
PomBase	SPAC22A12.13	mug84	E	SPAC22A12.13.1:pep	locus_exact	matched
