source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
SGD	S000002300	BPL1	E	YDL141W	locus_exact	matched
SGD	S000002302	CCT4	E	YDL143W	locus_exact	matched
SGD	S000002304	COP1	E	YDL145C	locus_exact	matched
SGD	S000002306	RPN5	E	YDL147W	locus_exact	matched
SGD	S000002307	NOP14	E	YDL148C	locus_exact	matched
SGD	S000002309	RPC53	E	YDL150W	locus_exact	matched
SGD	S000002312	SAS10	E	YDL153C	locus_exact	matched
SGD	S000002323	CDC9	E	YDL164C	locus_exact	matched
SGD	S000002325	FAP7	E	YDL166C	locus_exact	matched
SGD	S000002352	NUS1	E	YDL193W	locus_exact	matched
SGD	S000002354	SEC31	E	YDL195W	locus_exact	matched
SGD	S000002364	HEM3	E	YDL205C	locus_exact	matched
SGD	S000002366	GLE1	E	YDL207W	locus_exact	matched
SGD	S000002367	NHP2	E	YDL208W	locus_exact	matched
SGD	S000002368	CWC2	E	YDL209C	locus_exact	matched
SGD	S000002371	SHR3	E	YDL212W	locus_exact	matched
SGD	S000002376	TIM22	E	YDL217C	locus_exact	matched
SGD	S000002379	CDC13	E	YDL220C	locus_exact	matched
SGD	S000002394	YPD1	E	YDL235C	locus_exact	matched
SGD	S000002409	YRB1	E	YDR002W	locus_exact	matched
SGD	S000002420	PSF1	E	YDR013W	locus_exact	matched
SGD	S000002423	DAD1	E	YDR016C	locus_exact	matched
SGD	S000002428	FAL1	E	YDR021W	locus_exact	matched
SGD	S000002430	SES1	E	YDR023W	locus_exact	matched
SGD	S000002444	KRS1	E	YDR037W	locus_exact	matched
SGD	S000002448	RSM10	E	YDR041W	locus_exact	matched
SGD	S000002451	HEM13	E	YDR044W	locus_exact	matched
SGD	S000002452	RPC11	E	YDR045C	locus_exact	matched
SGD	S000002457	TPI1	E	YDR050C	locus_exact	matched
SGD	S000002459	DBF4	E	YDR052C	locus_exact	matched
SGD	S000002461	CDC34	E	YDR054C	locus_exact	matched
SGD	S000002467	MAK21	E	YDR060W	locus_exact	matched
SGD	S000002469	LCB2	E	YDR062W	locus_exact	matched
SGD	S000002471	RPS13	E	YDR064W	locus_exact	matched
SGD	S000002488	PDC2	E	YDR081C	locus_exact	matched
SGD	S000002489	STN1	E	YDR082W	locus_exact	matched
SGD	S000002494	RRP1	E	YDR087C	locus_exact	matched
SGD	S000002495	SLU7	E	YDR088C	locus_exact	matched
SGD	S000002520	PDS1	E	YDR113C	locus_exact	matched
SGD	S000002525	APC4	E	YDR118W	locus_exact	matched
SGD	S000002548	DOP1	E	YDR141C	locus_exact	matched
SGD	S000002552	TAF12	E	YDR145W	locus_exact	matched
SGD	S000002571	SEC1	E	YDR164C	locus_exact	matched
SGD	S000002574	TAF10	E	YDR167W	locus_exact	matched
SGD	S000002575	CDC37	E	YDR168W	locus_exact	matched
SGD	S000002577	SEC7	E	YDR170C	locus_exact	matched
SGD	S000002579	SUP35	E	YDR172W	locus_exact	matched
SGD	S000002588	SCC2	E	YDR180W	locus_exact	matched
SGD	S000002590	CDC1	E	YDR182W	locus_exact	matched
SGD	S000002596	CCT6	E	YDR188W	locus_exact	matched
SGD	S000002597	SLY1	E	YDR189W	locus_exact	matched
SGD	S000002598	RVB1	E	YDR190C	locus_exact	matched
SGD	S000002604	CAB5	E	YDR196C	locus_exact	matched
SGD	S000002609	SPC19	E	YDR201W	locus_exact	matched
SGD	S000002616	MSS4	E	YDR208W	locus_exact	matched
SGD	S000002619	GCD6	E	YDR211W	locus_exact	matched
SGD	S000002620	TCP1	E	YDR212W	locus_exact	matched
SGD	S000002636	PCF11	E	YDR228C	locus_exact	matched
SGD	S000002640	HEM1	E	YDR232W	locus_exact	matched
SGD	S000002643	PRP42	E	YDR235W	locus_exact	matched
SGD	S000002644	FMN1	E	YDR236C	locus_exact	matched
SGD	S000002646	SEC26	E	YDR238C	locus_exact	matched
SGD	S000002648	SNU56	E	YDR240C	locus_exact	matched
SGD	S000002651	PRP28	E	YDR243C	locus_exact	matched
SGD	S000002654	TRS23	E	YDR246W	locus_exact	matched
SGD	S000002675	CIA1	E	YDR267C	locus_exact	matched
SGD	S000002688	RRP45	E	YDR280W	locus_exact	matched
SGD	S000002696	NSE3	E	YDR288W	locus_exact	matched
SGD	S000002707	BFR2	E	YDR299W	locus_exact	matched
SGD	S000002709	CFT1	E	YDR301W	locus_exact	matched
SGD	S000002710	GPI11	E	YDR302W	locus_exact	matched
SGD	S000002716	SRB7	E	YDR308C	locus_exact	matched
SGD	S000002719	TFB1	E	YDR311W	locus_exact	matched
SGD	S000002732	UTP4	E	YDR324C	locus_exact	matched
SGD	S000002733	YCG1	E	YDR325W	locus_exact	matched
SGD	S000002736	SKP1	E	YDR328C	locus_exact	matched
SGD	S000002739	GPI8	E	YDR331W	locus_exact	matched
SGD	S000002747	FCF1	E	YDR339C	locus_exact	matched
SGD	S000002749	NA	E	YDR341C	locus_exact	matched
SGD	S000002761	TRR1	E	YDR353W	locus_exact	matched
SGD	S000002764	SPC110	E	YDR356W	locus_exact	matched
SGD	S000002769	BCP1	E	YDR361C	locus_exact	matched
SGD	S000002770	TFC6	E	YDR362C	locus_exact	matched
SGD	S000002773	ESF1	E	YDR365C	locus_exact	matched
