gene_id	source_ref_db	source_locus	source_gene	match_type
YGL098W	SGD	S000003066	USE1	locus_exact
YGL103W	SGD	S000003071	RPL28	locus_exact
YGL106W	SGD	S000003074	MLC1	locus_exact
YGL111W	SGD	S000003079	NSA1	locus_exact
YGL112C	SGD	S000003080	TAF6	locus_exact
YGL113W	SGD	S000003081	SLD3	locus_exact
YGL116W	SGD	S000003084	CDC20	locus_exact
YGL120C	SGD	S000003088	PRP43	locus_exact
YGL122C	SGD	S000003090	NAB2	locus_exact
YGL123W	SGD	S000003091	RPS2	locus_exact
YGL128C	SGD	S000003096	CWC23	locus_exact
YGL130W	SGD	S000003098	CEG1	locus_exact
YGL137W	SGD	S000003105	SEC27	locus_exact
YGL142C	SGD	S000003110	GPI10	locus_exact
YGL145W	SGD	S000003113	TIP20	locus_exact
YGL155W	SGD	S000003123	CDC43	locus_exact
YGL171W	SGD	S000003139	ROK1	locus_exact
YGL172W	SGD	S000003140	NUP49	locus_exact
YGL189C	SGD	S000003157	RPS26A	locus_exact
YGL201C	SGD	S000003169	MCM6	locus_exact
YGL207W	SGD	S000003175	SPT16	locus_exact
YGL225W	SGD	S000003193	VRG4	locus_exact
YGL233W	SGD	S000003202	SEC15	locus_exact
YGL238W	SGD	S000003207	CSE1	locus_exact
YGL245W	SGD	S000003214	GUS1	locus_exact
YGL247W	SGD	S000003216	BRR6	locus_exact
YGR002C	SGD	S000003234	SWC4	locus_exact
YGR005C	SGD	S000003237	TFG2	locus_exact
YGR009C	SGD	S000003241	SEC9	locus_exact
YGR013W	SGD	S000003245	SNU71	locus_exact
YGR024C	SGD	S000003256	THG1	locus_exact
YGR030C	SGD	S000003262	POP6	locus_exact
YGR046W	SGD	S000003278	TAM41	locus_exact
YGR047C	SGD	S000003279	TFC4	locus_exact
YGR048W	SGD	S000003280	UFD1	locus_exact
YGR060W	SGD	S000003292	ERG25	locus_exact
YGR074W	SGD	S000003306	SMD1	locus_exact
YGR075C	SGD	S000003307	PRP38	locus_exact
YGR083C	SGD	S000003315	GCD2	locus_exact
YGR090W	SGD	S000003322	UTP22	locus_exact
YGR091W	SGD	S000003323	PRP31	locus_exact
YGR094W	SGD	S000003326	VAS1	locus_exact
YGR095C	SGD	S000003327	RRP46	locus_exact
YGR098C	SGD	S000003330	ESP1	locus_exact
YGR099W	SGD	S000003331	TEL2	locus_exact
YGR103W	SGD	S000003335	NOP7	locus_exact
YGR113W	SGD	S000003345	DAM1	locus_exact
YGR116W	SGD	S000003348	SPT6	locus_exact
YGR119C	SGD	S000003351	NUP57	locus_exact
YGR128C	SGD	S000003360	UTP8	locus_exact
YGR140W	SGD	S000003372	CBF2	locus_exact
YGR145W	SGD	S000003377	ENP2	locus_exact
YGR147C	SGD	S000003379	NAT2	locus_exact
YGR156W	SGD	S000003388	PTI1	locus_exact
YGR158C	SGD	S000003390	MTR3	locus_exact
YGR172C	SGD	S000003404	YIP1	locus_exact
YGR175C	SGD	S000003407	ERG1	locus_exact
YGR179C	SGD	S000003411	OKP1	locus_exact
YGR185C	SGD	S000003417	TYS1	locus_exact
YGR186W	SGD	S000003418	TFG1	locus_exact
YGR191W	SGD	S000003423	HIP1	locus_exact
YGR198W	SGD	S000003430	YPP1	locus_exact
YGR211W	SGD	S000003443	ZPR1	locus_exact
YGR218W	SGD	S000003450	CRM1	locus_exact
YGR245C	SGD	S000003477	SDA1	locus_exact
YGR246C	SGD	S000003478	BRF1	locus_exact
YGR251W	SGD	S000003483	NOP19	locus_exact
YGR253C	SGD	S000003485	PUP2	locus_exact
YGR264C	SGD	S000003496	MES1	locus_exact
YGR267C	SGD	S000003499	FOL2	locus_exact
YGR274C	SGD	S000003506	TAF1	locus_exact
YGR277C	SGD	S000003509	CAB4	locus_exact
YGR278W	SGD	S000003510	CWC22	locus_exact
YGR294W	SGD	S000003526	PAU12	locus_exact
YHL015W	SGD	S000001007	RPS20	locus_exact
YHR005C-A	SGD	S000003530	TIM10	locus_exact
YHR019C	SGD	S000001061	DED81	locus_exact
YHR020W	SGD	S000001062	NA	locus_exact
YHR024C	SGD	S000001066	MAS2	locus_exact
YHR027C	SGD	S000001069	RPN1	locus_exact
YHR036W	SGD	S000001078	BRL1	locus_exact
YHR040W	SGD	S000001082	BCD1	locus_exact
YHR058C	SGD	S000001100	MED6	locus_exact
YHR062C	SGD	S000001104	RPP1	locus_exact
YHR065C	SGD	S000001107	RRP3	locus_exact
YHR068W	SGD	S000001110	DYS1	locus_exact
YHR069C	SGD	S000001111	RRP4	locus_exact
YHR072W	SGD	S000001114	ERG7	locus_exact
YHR072W-A	SGD	S000007455	NOP10	locus_exact
YHR074W	SGD	S000001116	QNS1	locus_exact
YHR085W	SGD	S000001127	IPI1	locus_exact
YHR088W	SGD	S000001130	RPF1	locus_exact
YHR098C	SGD	S000001140	SFB3	locus_exact
YHR099W	SGD	S000001141	TRA1	locus_exact
YHR107C	SGD	S000001149	CDC12	locus_exact
YHR118C	SGD	S000001160	ORC6	locus_exact
YHR122W	SGD	S000001164	CIA2	locus_exact
YHR143W-A	SGD	S000001185	RPC10	locus_exact
YHR148W	SGD	S000001191	IMP3	locus_exact
YHR164C	SGD	S000001207	DNA2	locus_exact
YHR165C	SGD	S000001208	PRP8	locus_exact
YHR166C	SGD	S000001209	CDC23	locus_exact
YHR169W	SGD	S000001212	DBP8	locus_exact
YHR170W	SGD	S000001213	NMD3	locus_exact
YHR172W	SGD	S000001215	SPC97	locus_exact
YHR186C	SGD	S000001229	KOG1	locus_exact
YHR188C	SGD	S000001231	GPI16	locus_exact
YHR190W	SGD	S000001233	ERG9	locus_exact
YHR196W	SGD	S000001239	UTP9	locus_exact
YHR197W	SGD	S000001240	RIX1	locus_exact
YHR199C-A	SGD	S000029704	NBL1	locus_exact
YIL003W	SGD	S000001265	CFD1	locus_exact
YIL004C	SGD	S000001266	BET1	locus_exact
YIL019W	SGD	S000001281	FAF1	locus_exact
YIL021W	SGD	S000001283	RPB3	locus_exact
YIL022W	SGD	S000001284	TIM44	locus_exact
YIL026C	SGD	S000001288	IRR1	locus_exact
YIL046W	SGD	S000001308	MET30	locus_exact
YIL048W	SGD	S000001310	NEO1	locus_exact
YIL051C	SGD	S000001313	MMF1	locus_exact
YIL062C	SGD	S000001324	ARC15	locus_exact
YIL068C	SGD	S000001330	SEC6	locus_exact
YIL075C	SGD	S000001337	RPN2	locus_exact
YIL078W	SGD	S000001340	THS1	locus_exact
YIL083C	SGD	S000001345	CAB2	locus_exact
YIL091C	SGD	S000001353	UTP25	locus_exact
YIL104C	SGD	S000001366	SHQ1	locus_exact
YIL106W	SGD	S000001368	MOB1	locus_exact
YIL109C	SGD	S000001371	SEC24	locus_exact
YIL115C	SGD	S000001377	NUP159	locus_exact
YIL126W	SGD	S000001388	STH1	locus_exact
YIL129C	SGD	S000001391	TAO3	locus_exact
YIL142W	SGD	S000001404	CCT2	locus_exact
YIL144W	SGD	S000001406	NDC80	locus_exact
YIR004W	SGD	S000001443	DJP1	locus_exact
YIR006C	SGD	S000001445	PAN1	locus_exact
YIR008C	SGD	S000001447	PRI1	locus_exact
YIR010W	SGD	S000001449	DSN1	locus_exact
YIR011C	SGD	S000001450	STS1	locus_exact
YIR012W	SGD	S000001451	SQT1	locus_exact
YIR015W	SGD	S000001454	RPR2	locus_exact
YIR022W	SGD	S000001461	SEC11	locus_exact
YJL001W	SGD	S000003538	PRE3	locus_exact
YJL002C	SGD	S000003539	OST1	locus_exact
YJL005W	SGD	S000003542	CYR1	locus_exact
YJL008C	SGD	S000003545	CCT8	locus_exact
YJL010C	SGD	S000003547	NOP9	locus_exact
YJL011C	SGD	S000003548	RPC17	locus_exact
YJL012C	SGD	S000003549	VTC4	locus_exact
YJL014W	SGD	S000003551	CCT3	locus_exact
YJL019W	SGD	S000003556	MPS3	locus_exact
YJL025W	SGD	S000003562	RRN7	locus_exact
YJL026W	SGD	S000003563	RNR2	locus_exact
YJL031C	SGD	S000003568	BET4	locus_exact
YJL033W	SGD	S000003570	HCA4	locus_exact
YJL034W	SGD	S000003571	KAR2	locus_exact
YJL035C	SGD	S000003572	TAD2	locus_exact
YJL039C	SGD	S000003576	NUP192	locus_exact
YJL041W	SGD	S000003577	NSP1	locus_exact
YJL050W	SGD	S000003586	MTR4	locus_exact
YJL061W	SGD	S000003597	NUP82	locus_exact
YJL069C	SGD	S000003605	UTP18	locus_exact
YJL072C	SGD	S000003608	PSF2	locus_exact
YJL076W	SGD	S000003612	NET1	locus_exact
YJL081C	SGD	S000003617	ARP4	locus_exact
YJL085W	SGD	S000003621	EXO70	locus_exact
YJL087C	SGD	S000003623	TRL1	locus_exact
YJL090C	SGD	S000003626	DPB11	locus_exact
YJL091C	SGD	S000003627	GWT1	locus_exact
YJL097W	SGD	S000003633	PHS1	locus_exact
YJL104W	SGD	S000003640	PAM16	locus_exact
YJL109C	SGD	S000003645	UTP10	locus_exact
