gene_id	source_ref_db	source_locus	source_gene	match_type
SPAC22E12.10c.1:pep	PomBase	SPAC22E12.10c	etp1	locus_exact
SPAC22E12.13c.1:pep	PomBase	SPAC22E12.13c	rlp24	locus_exact
SPAC22E12.16c.1:pep	PomBase	SPAC22E12.16c	pik1	locus_exact
SPAC22E12.17c.1:pep	PomBase	SPAC22E12.17c	glo3	locus_exact
SPAC22F3.05c.1:pep	PomBase	SPAC22F3.05c	alp41	locus_exact
SPAC22F3.10c.1:pep	PomBase	SPAC22F3.10c	gcs1	locus_exact
SPAC22F8.06.1:pep	PomBase	SPAC22F8.06	pam1	locus_exact
SPAC22F8.08.1:pep	PomBase	SPAC22F8.08	sec24	locus_exact
SPAC22F8.10c.1:pep	PomBase	SPAC22F8.10c	sap145	locus_exact
SPAC22F8.11.1:pep	PomBase	SPAC22F8.11	plc1	locus_exact
SPAC22G7.02.1:pep	PomBase	SPAC22G7.02	kap111	locus_exact
SPAC22G7.09c.1:pep	PomBase	SPAC22G7.09c	nup45	locus_exact
SPAC22G7.10.1:pep	PomBase	SPAC22G7.10	iss1	locus_exact
SPAC22H10.05c.1:pep	PomBase	SPAC22H10.05c	SPAC22H10.05c	locus_exact
SPAC22H10.10.1:pep	PomBase	SPAC22H10.10	alp21	locus_exact
SPAC22H10.12c.1:pep	PomBase	SPAC22H10.12c	gdi1	locus_exact
SPAC23A1.05.1:pep	PomBase	SPAC23A1.05	SPAC23A1.05	locus_exact
SPAC23A1.08c.1:pep	PomBase	SPAC23A1.08c	rpl3401	locus_exact
SPAC23A1.12c.1:pep	PomBase	SPAC23A1.12c	frs1	locus_exact
SPAC23A1.16c.1:pep	PomBase	SPAC23A1.16c	rtr1	locus_exact
SPAC23A1.18c.1:pep	PomBase	SPAC23A1.18c	mrp51	locus_exact
SPAC23A1.19c.1:pep	PomBase	SPAC23A1.19c	hrq1	locus_exact
SPAC23C11.03.1:pep	PomBase	SPAC23C11.03	mpp10	locus_exact
SPAC23C11.05.1:pep	PomBase	SPAC23C11.05	ipp1	locus_exact
SPAC23C11.09.1:pep	PomBase	SPAC23C11.09	ala1	locus_exact
