raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
4932.YLR271W	33	S000004261(SGD_ID); S000004261(UniProt_DR_SGD)	S000004261	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR272C	42	S000004262(SGD_ID); S000004262(UniProt_DR_SGD)	S000004262	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
4932.YLR273C	37	S000004263(SGD_ID); S000004263(UniProt_DR_SGD)	S000004263	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR274W	78	S000004264(SGD_ID); S000004264(UniProt_DR_SGD)	S000004264	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR275W	83	S000004265(SGD_ID); S000004265(UniProt_DR_SGD)	S000004265	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB
4932.YLR276C	43	S000004266(SGD_ID); S000004266(UniProt_DR_SGD)	S000004266	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR277C	45	S000004267(SGD_ID); S000004267(UniProt_DR_SGD)	S000004267	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; UniProt_DR_PDB; KEGG_GENEID
4932.YLR278C	31	S000004268(SGD_ID); S000004268(UniProt_DR_SGD)	S000004268	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR279W	15			unmapped		Ensembl_protein_id; UniProt_GN_ORFNames; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
4932.YLR280C	15			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
4932.YLR281C	32	S000004271(SGD_ID); S000004271(UniProt_DR_SGD)	S000004271	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR282C	15			unmapped		Ensembl_protein_id; UniProt_GN_ORFNames; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
4932.YLR283W	30	S000004273(SGD_ID); S000004273(UniProt_DR_SGD)	S000004273	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
4932.YLR284C	61	S000004274(SGD_ID); S000004274(UniProt_DR_SGD)	S000004274	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR285C-A	29	S000028569(SGD_ID); S000028569(UniProt_DR_SGD)	S000028569	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; UniProt_AC; Ensembl_protein_id
4932.YLR285W	42	S000004275(SGD_ID); S000004275(UniProt_DR_SGD)	S000004275	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR286C	59	S000004276(SGD_ID); S000004276(UniProt_DR_SGD)	S000004276	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR286W-A	15			unmapped		Ensembl_protein_id; UniProt_DE_RecName_Full; Ensembl_UniProt; UniProt_AC; SGD_ID
4932.YLR287C	31	S000004277(SGD_ID); S000004277(UniProt_DR_SGD)	S000004277	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR287C-A	179	S000004278(SGD_ID); S000004278(UniProt_DR_SGD)	S000004278	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR288C	47	S000004279(SGD_ID); S000004279(UniProt_DR_SGD)	S000004279	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
4932.YLR289W	47	S000004280(SGD_ID); S000004280(UniProt_DR_SGD)	S000004280	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR290C	37	S000004281(SGD_ID); S000004281(UniProt_DR_SGD)	S000004281	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR291C	48	S000004282(SGD_ID); S000004282(UniProt_DR_SGD)	S000004282	mapped	alias_match	Ensembl_STRING; UniProt_DR_PDB; UniProt_DR_PDB; UniProt_DR_PDB; UniProt_DR_PDB
4932.YLR292C	53	S000004283(SGD_ID); S000004283(UniProt_DR_SGD)	S000004283	mapped	alias_match	Ensembl_STRING; UniProt_DR_PDB; UniProt_DR_PDB; KEGG_GENEID; UniProt_DR_GeneID
4932.YLR293C	59	S000004284(SGD_ID); S000004284(UniProt_DR_SGD)	S000004284	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR294C	17			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_protein_id; UniProt_GN_ORFNames; Ensembl_UniProt
4932.YLR295C	41	S000004286(SGD_ID); S000004286(UniProt_DR_SGD)	S000004286	mapped	alias_match	Ensembl_STRING; UniProt_DR_PDB; UniProt_DR_PDB; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR296W	24			unmapped		Ensembl_STRING; KEGG_GENEID; UniProt_AC; Ensembl_protein_id; Ensembl_protein_id
4932.YLR297W	31	S000004288(SGD_ID); S000004288(UniProt_DR_SGD)	S000004288	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR298C	48	S000004289(SGD_ID); S000004289(UniProt_DR_SGD)	S000004289	mapped	alias_match	Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB; UniProt_DR_PDB; UniProt_DR_PDB
4932.YLR299C-A	15			unmapped		Ensembl_protein_id; UniProt_DE_RecName_Full; Ensembl_UniProt; UniProt_AC; SGD_ID
4932.YLR299W	53	S000004290(SGD_ID); S000004290(UniProt_DR_SGD)	S000004290	mapped	alias_match	KEGG_EC; UniProt_DE_AltName_EC; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING
4932.YLR300W	55	S000004291(SGD_ID); S000004291(UniProt_DR_SGD)	S000004291	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING
4932.YLR301W	37			unmapped		Ensembl_PDB; UniProt_DR_PDB; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR302C	22			unmapped		Ensembl_STRING; KEGG_GENEID; UniProt_AC; Ensembl_protein_id; Ensembl_protein_id
4932.YLR303W	55	S000004294(SGD_ID); S000004294(UniProt_DR_SGD)	S000004294	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING
4932.YLR304C	47	S000004295(SGD_ID); S000004295(UniProt_DR_SGD)	S000004295	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID
4932.YLR305C	44	S000004296(SGD_ID); S000004296(UniProt_DR_SGD)	S000004296	mapped	alias_match	KEGG_PRODUCT; SGD_SYNONYM; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING
4932.YLR306W	47	S000004297(SGD_ID); S000004297(UniProt_DR_SGD)	S000004297	mapped	alias_match	UniProt_DE_RecName_EC; KEGG_EC; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR307C-A	32	S000028525(SGD_ID); S000028525(UniProt_DR_SGD)	S000028525	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; UniProt_AC
4932.YLR307W	41	S000004298(SGD_ID); S000004298(UniProt_DR_SGD)	S000004298	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR308W	41	S000004299(SGD_ID); S000004299(UniProt_DR_SGD)	S000004299	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR309C	39	S000004300(SGD_ID); S000004300(UniProt_DR_SGD)	S000004300	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; UniProt_AC
4932.YLR310C	44	S000004301(SGD_ID); S000004301(UniProt_DR_SGD)	S000004301	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
4932.YLR311C	15			unmapped		Ensembl_STRING; Ensembl_protein_id; UniProt_GN_ORFNames; Ensembl_UniProt; UniProt_AC
4932.YLR312C	34	S000004303(SGD_ID); S000004303(UniProt_DR_SGD)	S000004303	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR312W-A	51	S000004304(SGD_ID); S000004304(UniProt_DR_SGD)	S000004304	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_STRING; UniProt_DE_RecName_Full; Ensembl_PDB
4932.YLR313C	30	S000004305(SGD_ID); S000004305(UniProt_DR_SGD)	S000004305	mapped	alias_match	KEGG_GENEID; UniProt_DR_GeneID; UniProt_AC; SGD_ID; UniProt_DR_RefSeq
4932.YLR314C	39	S000004306(SGD_ID); S000004306(UniProt_DR_SGD)	S000004306	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR315W	39	S000004307(SGD_ID); S000004307(UniProt_DR_SGD)	S000004307	mapped	alias_match	Ensembl_STRING; UniProt_DR_PDB; UniProt_DR_PDB; UniProt_DR_PDB; UniProt_DR_PDB
4932.YLR316C	37	S000004308(SGD_ID); S000004308(UniProt_DR_SGD)	S000004308	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR317W	15			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
4932.YLR318W	40	S000004310(SGD_ID); S000004310(UniProt_DR_SGD)	S000004310	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR319C	49	S000004311(SGD_ID); S000004311(UniProt_DR_SGD)	S000004311	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_STRING
